,Type,Score,prop.spp.IndicatorClass_DOC_high,prop.spp.Trophic.I,prop.spp.BCG3,prop.spp.ZHR
105PS1492_8.6.14_1,ref,1.103920212,1.470503539,1.330738618,0.800222127,0.814216565
105TMCACC_8.10.10_1,ref,1.230041097,2.25981103,0.69239416,1.576530197,0.391428999
105WE0598_7.24.14_1,ref,0.795457024,0.778101695,0,0.986824853,1.41690155
105WLC135_6.26.13_1,ref,1.142643202,1.570923504,0.803166591,1.882992095,0.313490618
105WLCABC_8.3.11_1,ref,0.697699622,0.966161022,0.718176397,0.612115298,0.494345772
106FS0040_8.30.11_1,ref,0.637352921,1.495463182,0.407290683,0.646657818,0
106MNCAHC_10.1.08_1,ref,0.715522237,0.926311542,0.789283148,0.640457989,0.506036268
106MNCAHC_10.1.08_2,ref,0.694880263,1.198206482,0.877142462,0.361807356,0.342364754
106PS0115_9.21.10_1,ref,1.081600577,1.300601376,2.513617389,0.512183545,0
106PS0124_8.16.10_1,ref,1.26153014,2.390184744,0.798916339,1.555920248,0.30109923
106PS0166_8.2.11_1,ref,0.649746181,1.089342373,0.441998563,1.067643788,0
106WE0505_7.21.14_1,ref,0.680558411,1.407347977,0,1.054688454,0.260197213
106WE1079_8.8.12_1,ref,0.788939482,1.276954078,0.685532015,0.957334081,0.235937755
106WER011_9.11.13_1,ref,1.483989959,2.471668314,0.865492701,1.3755832,1.223215623
106WER016_10.20.09_1,ref,1.446011833,0.951013183,1.473328542,1.470503539,1.889202066
106WER016_5.18.09_1,ref,1.545269522,1.58265776,0.980335692,2.661477235,0.956607401
106WER016_6.22.09_1,ref,1.354227972,1.130177748,2.60029385,0.97049124,0.715949049
106WER016_8.4.09_1,ref,1.531425589,1.920839376,1.107830657,1.844459526,1.252572798
106WER016_9.16.09_1,ref,1.346023952,1.037468927,1.104996407,1.470503539,1.771126937
107LLM101_9.13.10_1,ref,1.24293262,1.738488677,1.333256542,1.639788047,0.260197213
107PS0021_7.14.14_1,ref,0.656661778,0.936432991,0,0.652087999,1.038126121
107PS0021_9.3.08_1,ref,0.82645794,2.071493444,0.461596107,0.772742209,0
107WER092_8.27.12_1,ref,1.068050955,1.061047766,1.506813282,1.060296612,0.644046159
111BBRBCC_9.23.09_1,ref,1.302691723,1.535531474,0.806405166,2.65899379,0.209836462
111BGCAER_10.6.09_1,ref,1.012861538,0.867067584,1.675744926,0.931896907,0.576736734
111BGCAER_6.11.14_1,ref,0.482935456,1.694858273,0,0.23688355,0
111CBCAER_8.8.13_1,ref,1.184000491,1.061047766,1.004542188,1.060296612,1.610115397
111CBCAER_8.8.13_2,ref,1.135855681,1.317036877,0.568149094,1.919040126,0.739196628
111CE0569_5.11.10_1,ref,1.188517766,1.300601376,2.661477235,0.791992453,0
111CE0569_6.15.10_1,ref,1.328441672,2.471668314,1.221872048,1.3755832,0.244643125
111CE0569_7.20.10_1,ref,1.297513219,1.02381802,1.949993659,1.470503539,0.745737658
111CE0569_9.1.10_1,ref,1.32791054,1.810925706,1.470503539,1.4203757,0.609837218
111ERATRC_10.10.12_1,ref,1.010508574,1.325141025,0.853681377,1.079720482,0.783491412
111FS0001_7.5.11_1,ref,1.05426968,1.635389561,0.364417979,1.393210129,0.824061051
111FS0007_7.11.11_1,ref,1.368799631,0.864557439,1.381245508,1.45826864,1.771126937
111FS0008_5.2.12_1,ref,1.249353191,1.763017618,1.234496798,1.758975001,0.240923345
111FS0008_6.7.12_1,ref,1.531560247,1.352625431,2.513617389,1.221872048,1.038126121
111FS0008_7.19.12_1,ref,1.234586013,2.054373664,0.944173855,1.406029714,0.533766817
111FS0008_7.6.11_1,ref,1.051064633,0.686560319,0.649997886,1.200757328,1.666943
