,Type,Score,prop.spp.IndicatorClass_DOC_high,prop.spp.Trophic.I,prop.spp.BCG3,prop.spp.ZHR
902ASTRLC_4.3.13_1,ref,1.311056016,2.661477235,1.221872048,1.149291536,0.211583243
902SMSTN1_5.6.08_1,ref,0.83701726,0.917274356,1.078045275,0.661577919,0.691171488
903ACPCT1_3.26.13_1,ref,1.181313207,1.872521818,1.190407626,1.507444091,0.154879293
903ACPCT1_5.29.12_1,ref,0.853652906,1.162239528,1.283549305,0.527066997,0.441755796
903FCPSPx_4.8.15_1,ref,1.258256907,2.661477235,0.314724618,1.345136685,0.71168909
903FRC_4.8.14_1,ref,1.155571277,1.02381802,1.163154112,1.192416881,1.242896096
903FRC_5.12.14_1,ref,1.479759279,1.845885661,0.900849015,2.556971193,0.615331247
903NP9LWF_5.8.15_1,ref,0.898610191,0.936432991,0.754085217,0.736030672,1.167891886
903NP9UAC_4.9.15_1,ref,1.0578123,2.222147513,0.461596107,1.129981314,0.417524266
903SLFRCx_5.7.08_1,ref,1.395653552,0.897809648,0.849997236,1.173330088,2.661477235
903WE0798_4.8.15_1,ref,1.216714172,1.781680943,0.652136352,1.754264054,0.678775338
903WE0900_4.8.15_1,ref,1.107811402,1.470503539,0.763630599,0.620211035,1.576900436
905BCC_4.11.14_1,ref,1.343324393,2.471668314,0.540932938,1.626766946,0.733929374
905BCC_5.13.14_1,ref,1.149087807,1.016439151,1.045266871,1.194332929,1.340312277
905BCC_6.11.14_1,ref,1.112756542,1.596571234,0.476163051,2.099509156,0.278782728
905DGCC1x_3.25.14_1,ref,1.115350927,1.470503539,0.78346516,0.859219269,1.348215741
905DGCC1x_4.3.13_1,ref,1.423657209,2.318835945,0.310027236,1.780476402,1.285289252
905S02561_5.25.11_1,ref,0.913070977,1.123924671,1.473328542,0.582730178,0.472300517
905SDBDN9_3.25.14_1,ref,0.904833471,1.622141945,0.450424507,1.370958504,0.175808928
905SDISS2_5.8.08_1,ref,0.90413204,1.470503539,1.311452551,0.83457207,0
905WE0679_3.27.15_1,ref,1.28230339,2.286713543,0.989134515,1.23204963,0.621315872
907CCCR02_3.29.10_1,ref,0.925787502,0.648418079,0.920830339,0.953150297,1.180751291
907CCCR02_5.5.10_1,ref,1.15313108,1.818765211,1.010042835,1.586597175,0.197119101
907CCCR02_5.8.08_1,ref,0.57328526,0.834804604,0.70147462,0.515437137,0.241424679
907CCCR02_6.9.10_1,ref,1.302068005,2.501933641,0.791307612,1.691357052,0.223673714
907CCCR02_7.13.10_1,ref,1.387766185,1.188766479,0.920830339,0.784777515,2.656690406
907CCCR02_8.24.10_1,ref,1.154746666,1.907305505,0.490167846,1.45622739,0.765285921
907CONECR_5.16.12_1,ref,1.164041516,1.464677242,1.392157323,1.000772946,0.798558554
907CONECR_5.31.12_1,ref,1.429070113,2.629952492,0.955026428,1.456423946,0.674877585
907S03210_5.18.11_1,ref,0.991821585,1.134731639,1.035934131,0.911057101,0.885563469
907S03210_5.18.11_2,ref,0.980379317,1.833100306,0.476163051,1.054688454,0.557565457
907SDB035_5.22.14_1,ref,1.35540402,1.470503539,2.57492513,1.122985918,0.253201493
909JQCASR_6.1.11_1,ref,1.011469459,1.98779674,0.769326845,1.28875425,0
909S00282_4.6.15_1,ref,1.036544391,1.011817223,1.092853589,0.795879018,1.245627736
909S00282_4.6.15_2,ref,1.178823131,1.51772821,0.833285338,1.786062945,0.578216029
911COPPER_3.24.15_1,ref,0.79907537,1.013100019,1.058365216,0.578454076,0.546382169
911COPPER_4.2.13_1,ref,1.372661745,2.519383919,0.374267114,1.221704869,1.375291079
911KCKCRx_4.7.15_1,ref,1.023819687,1.113753407,0.779997464,0.867973478,1.3335544
911KCKCRx_5.31.11_1,ref,1.092528847,1.596571234,0.952326101,1.263652594,0.557565457
911KCKCRx_5.6.14_1,ref,1.030648109,1.352625431,0,0.819973344,1.949993659
911LAP_4.9.14_1,ref,1.301383409,2.179103494,0.593480709,1.538254578,0.894694856
911NP9ATC_3.24.14_1,ref,1.123486032,1.067982719,0.97499683,1.200757328,1.25020725
911NP9ATC_4.29.14_1,ref,1.294894873,1.789001666,0.988643622,2.071175035,0.330759169
911NP9ATC_4.7.15_1,ref,0.936900827,1.314291917,1.190660868,0.696268353,0.546382169
911NP9ATC_4.7.15_2,ref,1.117753143,2.205637478,0.379394061,1.242536101,0.643444931
911NP9UCW_3.18.15_1,ref,1.01642294,0.750799881,1.163154112,0.90884167,1.242896096
911NP9UCW_3.24.14_1,ref,1.308277183,1.709693834,0.845361938,1.923858139,0.75419482
911NP9UCW_4.29.14_1,ref,1.063270826,1.263441337,0.957568529,0.878599972,1.153473467
911S00538_5.5.09_1,ref,1.486103185,2.639533376,0.340521718,1.809321253,1.155036392
911S00858_5.31.10_1,ref,1.299553658,1.205830112,0.775436075,0.979735473,2.237212973
911S01142_3.23.15_1,ref,0.968864395,1.63391793,0.767499654,1.131675242,0.342364754
911S01142_5.24.11_1,ref,1.069914763,1.396435162,1.190660868,0.872989769,0.819573253
911S02058_5.5.09_1,ref,1.331988556,2.095792488,0.44670591,1.775316473,1.010139353
911S03354_5.5.09_1,ref,1.107648972,1.093410879,0.866663848,1.359225828,1.111295333
911TCCTCx_5.31.11_1,ref,1.594211271,1.763017618,1.470503539,2.661477235,0.481846691
911TJIND2_5.8.08_1,ref,1.122633534,1.135070292,1.37106403,0.80471104,1.179688773
911TJKC1x_3.30.15_1,ref,1.209805628,2.010417471,0.499022818,1.342393756,0.987388467
911TJKTC5_5.7.08_1,ref,0.966313562,0.88514214,0.70158502,0.929097042,1.349430047
911TJLCC2_4.7.15_1,ref,1.091372633,1.949993659,0.520803337,1.4203757,0.474317836
911TJWIL3_5.25.11_1,ref,0.613442271,0.780360826,0.754085217,0.400259981,0.51906306
911TJWIL3_5.6.08_1,ref,0.944967398,2.21400405,0.561400671,1.004464872,0
911TJWIL3_5.6.08_2,ref,0.655697147,0.962168763,0.712900908,0.947718917,0
MJMJ1_6.19.08_1,ref,1.121623065,1.492058389,0.775149152,1.462897472,0.756387247
SASA4_10.4.07_1,ref,1.191280534,1.311006187,1.80980452,1.021435758,0.622875672
SASA4_11.2.08_1,ref,1.223326375,2.615522026,0.897547986,1.09028808,0.289947407
SASA4_6.6.08_1,ref,1.262880611,1.221872048,1.757948829,1.427655407,0.644046159
SASA4_6.7.07_1,ref,1.334121061,1.505185002,1.136298189,2.251483077,0.443517977
SCFC1_6.12.08_1,ref,1.246356539,1.207350711,1.707362755,0.699602719,1.371109971
SCSS1_6.17.08_1,ref,1.101392745,1.765477367,0.865492701,1.040671538,0.733929374
SGBC1_10.5.07_1,ref,1.043323951,1.016439151,0.895943033,1.303547706,0.957365912
SGBC1_11.3.08_1,ref,1.014401847,1.391062369,0.956229077,1.390401335,0.319914606
SGBC1_6.10.08_1,ref,1.246781017,0.668880708,1.436352794,0.931896907,1.949993659
SGBC1_6.24.07_1,ref,1.131342365,1.588929631,0.324559763,1.877950692,0.733929374
SGUR103_7.22.10_1,ref,0.980490355,1.221872048,1.578566295,1.121523078,0
SJTC2_6.14.07_1,ref,1.048862871,1.420333887,0.490167846,2.029854443,0.255095307
SMAD1_10.7.07_1,ref,0.986884505,1.387308135,2.094681157,0.465548727,0
SMAD1_11.5.08_1,ref,1.096779895,2.561995063,1.127153284,0.697971233,0
SMAD1_6.18.08_1,ref,0.919184972,1.190971982,1.804075766,0.681692139,0
SMAD1_6.26.07_1,ref,1.071137987,1.867714317,1.219441959,1.197395672,0
SMAS1_5.12.08_1,ref,0.828650549,1.162239528,0.962661979,0.527066997,0.662633694
SMC00135_6.7.10_1,ref,1.231005205,2.661477235,1.221872048,1.040671538,0
SMC00271_6.4.09_1,ref,1.209959892,1.049819748,0.789283148,1.313949114,1.686787559
SMC00271_8.13.15_1,ref,1.303084957,1.949993659,1.075206888,2.18713928,0
SMC00282_6.9.09_1,ref,0.939849853,1.345449699,0.780088155,0.738925246,0.894936311
SMC00282_6.9.09_2,ref,1.199647371,2.615522026,0.512884563,1.09028808,0.579894814
SMC00428_5.15.14_1,ref,0.935555275,0.769309586,0.936437633,1.075862663,0.96061122
SMC00428_6.19.14_1,ref,1.045592466,1.494732329,0.578670374,1.928274652,0.180692509
SMC00428_7.22.10_1,ref,0.567386039,0.780360826,1.256808694,0.232374636,0
SMC00476_6.8.09_1,ref,1.128505832,2.118572841,0.865492701,1.040671538,0.489286249
SMC00791_6.22.11_1,ref,0.912458296,0.951013183,1.104996407,1.121523078,0.472300517
SMC00791_6.22.11_2,ref,1.15897826,1.498697136,0.574679544,2.113920476,0.448615885
SMC00911_6.4.09_1,ref,0.910275535,1.054541656,1.222840892,1.083144966,0.280574627
SMC01196_7.14.10_1,ref,0.94602787,2.390184744,0.266305446,0.525422828,0.602198461
SMC01248_7.26.11_1,ref,0.76677739,0.466861017,0.883997125,0.582730178,1.13352124
SMC01367_6.23.11_1,ref,0.813281404,1.456405859,0.308624199,1.48809556,0
SMC01413_7.9.12_1,ref,1.338498416,1.305909953,2.15452919,1.046104625,0.847449894
SMC01413_7.9.12_2,ref,1.203356241,2.398384348,0.653202038,1.318711408,0.443127169
SMC01424_7.1.09_1,ref,1.392097023,0.864557439,0.920830339,1.121523078,2.661477235
SMC01567_6.9.10_1,ref,1.324195296,1.877105715,0.387574576,1.973158746,1.058942146
SMC01979_7.14.11_1,ref,1.006765871,0.993186505,1.37106403,1.033645601,0.629167346
SMC02139_7.17.12_1,ref,1.195049861,2.095792488,0.670058865,1.256743578,0.757604515
SMC02464_6.22.11_1,ref,0.698511987,0.720464533,0.613886893,0.672528995,0.787167528
SMC02591_7.21.11_1,ref,1.153707487,1.398398228,0.900849015,1.963964849,0.351617855
SMC02972_7.18.12_1,ref,1.155095645,1.263441337,1.436352794,0.931896907,0.988691543
SMC03234_6.28.11_1,ref,1.206472829,2.398384348,0.914482853,1.217606001,0.295418113
SMC03280_8.11.11_1,ref,1.022552701,0.97924363,0.902037883,1.341438547,0.867490745
SMC03452_6.13.12_1,ref,1.154203005,1.34975829,1.449191893,1.817861836,0
SMC04204_7.11.12_1,ref,0.892211411,1.352625431,1.508170433,0.708049781,0
SMC04383_5.19.14_1,ref,1.095010207,2.01768842,0.494567257,1.308600867,0.559184285
SMC04383_6.9.10_1,ref,1.041149482,0.926311542,0.526188765,1.02531006,1.686787559
SMC04524_7.9.13_1,ref,1.015410141,1.562781367,0.850291162,1.383060674,0.26550736
SMC04795_7.14.11_1,ref,0.592001496,0.811575259,1.206536347,0.349894378,0
SMC05243_6.10.10_1,ref,0.868647963,2.661477235,0.271527122,0.541587493,0
SMC05407_7.21.11_1,ref,1.178027909,1.045835612,0.891126135,1.40395484,1.371195048
SMC05848_6.18.13_1,ref,0.879470405,1.724691148,0.694404449,0.963266642,0.135519382
SMC06467_6.28.10_1,ref,0.706817128,1.470503539,1.190660868,0.166104105,0
SMC08157_6.22.11_1,ref,1.202941459,2.230076675,0.364417979,1.393210129,0.824061051
SMC09503_6.4.12_1,ref,0.831372109,0.720464533,0.920830339,0.897026036,0.787167528
SMC13599_6.4.12_1,ref,1.139210068,1.492058389,0.581361864,2.483420019,0
SMC18545_6.25.13_1,ref,1.093037384,1.341672999,1.852139129,0.81408263,0.364254779
SMC19809_6.25.13_1,ref,1.355942058,2.278035313,0.44670591,1.688887657,1.010139353
SMC29064_6.25.12_1,ref,1.438497935,1.152743252,1.949993659,1.470503539,1.180751291
SMCR8_474_7.5.09_1,ref,0.981308668,1.552222033,0.520803337,1.648930228,0.203279073
SQMC1_6.5.08_1,ref,0.954376462,1.11480118,1.436352794,0.772006103,0.494345772
SYHC2_6.3.08_1,ref,1.424490224,2.245325062,0.887684821,1.762019732,0.802931281
SYTQ1_6.3.08_1,ref,1.379507086,0.794835065,1.425801815,1.4691314,1.828260064
TJKT1_6.13.07_1,ref,0.939140269,1.738488677,0.833285338,1.054688454,0.130098607
VRMT3_11.4.08_1,ref,0.88008805,1.311006187,0.402178782,0.976666333,0.830500897
VRMT3_6.17.07_1,ref,1.238492119,2.172895221,0.266305446,1.762019732,0.752748076
VRMT3_6.17.08_1,ref,1.464634436,1.101087305,0.625469664,1.470503539,2.661477235
102PS0139_8.9.10_1,int,1.175587082,1.693333127,0.757532126,2.251483077,0
103FCA168_7.24.13_1,int,0.58976258,1.320610628,0.580065551,0.458374139,0
103PS0217_9.10.13_1,int,0.957576977,2.435141196,0.955026428,0.440140283,0
103RDCBCC_7.21.11_1,int,0.685094533,0.802803336,0.526188765,0.736671007,0.674715024
105PS0028_8.12.08_1,int,1.261447655,1.701695266,0.555523559,2.354909772,0.433662022
105PS0028_8.26.08_1,int,1.354254691,1.352625431,2.26225565,0.764011562,1.038126121
105PS0067_8.24.09_1,int,0.816759907,1.318223101,0.461596107,1.48722042,0
105PS0067_8.24.09_2,int,0.683193502,0.605190207,0.736664271,1.390919528,0
105PS0067_9.15.09_1,int,0.522114015,0.965827043,0.555523559,0.567105459,0
105PS0069_8.18.09_1,int,0.890416015,1.11480118,2.15452919,0.292333688,0
105PS0092_8.11.08_1,int,1.228241959,2.390184744,0.665763616,1.555920248,0.30109923
105PS0107_9.14.09_1,int,0.777446304,0.741049234,0.789283148,1.073416569,0.506036268
105PS0129_8.11.10_1,int,1.385085209,1.845885661,0.675636761,1.963964849,1.054853566
105PS0129_8.11.10_2,int,1.269662962,1.421990838,1.340595941,0.931896907,1.384168161
105PS0149_8.29.12_1,int,1.058534083,1.955605699,0.532610893,1.14372128,0.602198461
105PS0211_8.20.13_1,int,0.896578089,1.11157385,1.183924722,0.784777515,0.506036268
105PS0211_9.16.13_1,int,1.121181432,1.751224858,0.640988722,1.842322522,0.250189628
105PS0231_8.29.13_1,int,0.906678886,1.421990838,1.340595941,0.633434072,0.230694693
105PS0276_9.1.09_1,int,1.210555165,2.629952492,0.358134911,1.179255674,0.674877585
105PS0276_9.22.09_1,int,1.255236138,1.221657251,0.800722034,1.35578086,1.642784405
105PS0540_8.5.10_1,int,1.492908469,1.857359698,0.854651629,2.592450206,0.667172341
105PS1148_9.18.12_1,int,0.8415834,0.993186505,0,0.423153438,1.949993659
105PS1404_8.28.13_1,int,1.012402984,2.273590366,0.506629873,1.269391697,0
105PS1404_8.28.13_2,int,0.711853449,1.123924671,0.736664271,0.986824853,0
106FCA036_7.15.13_1,int,1.289226485,1.675414258,0.793605084,2.37812801,0.309758587
106HLCACC_9.23.13_1,int,0.84741718,1.365631445,0.942606521,0.75701634,0.324414413
106PS0022_9.30.08_1,int,0.814269767,2.118572841,0.43274635,0.705759876,0
106PS0051_9.16.08_1,int,1.072917614,1.129502461,0.712900908,1.078072038,1.371195048
106PS0051_9.16.08_2,int,1.565302538,1.724691148,1.388808897,2.334593814,0.813116291
106PS0106_9.8.09_1,int,0.998345402,1.11480118,1.615896893,0.891924206,0.370759329
106PS0106_9.8.09_2,int,1.087393317,1.842237253,0.602081879,1.564881095,0.340373043
106PS0122_9.20.10_1,int,1.102238552,1.148626312,1.578566295,0.467274557,1.214487043
106PS0142_7.19.10_1,int,1.139221917,1.738488677,0.333314135,2.22488764,0.260197213
106PS0206_10.3.12_1,int,1.272448189,1.400647636,1.160131103,0.931896907,1.597117109
106PTCAHC_9.2.08_1,int,1.281336877,2.372801582,0.553915328,1.415772599,0.782857999
107GWCAPC_9.15.10_1,int,0.429262517,0.991698239,0,0.725351828,0
107RWCBHW_8.3.11_1,int,1.281428613,1.751224858,1.281977444,1.842322522,0.250189628
107RWCBHW_8.3.11_2,int,0.793453399,1.248577321,0.754085217,0.652087999,0.51906306
108PS0197_8.16.12_1,int,0.875210633,1.883175859,0.576995134,1.040671538,0
110PS0114_7.21.10_1,int,1.040160921,1.11157385,1.578566295,1.470503539,0
110SMCATH_7.27.11_1,int,1.039969314,1.317036877,0,2.251483077,0.591357302
111CE0569_10.11.10_1,int,1.276905895,1.396435162,2.661477235,1.049711185,0
111FCA207_7.23.13_1,int,1.267785996,2.510901145,1.221872048,1.338370793,0
111PS0008_9.29.08_1,int,0.971975537,0.873379454,0.676528412,1.470503539,0.867490745
111PS0008_9.9.08_1,int,1.236016081,1.572918327,0.333314135,2.517437437,0.520394426
111PS0008_9.9.08_2,int,1.087739002,1.207350711,1.138241836,1.221872048,0.783491412
111PS0013_8.19.08_1,int,1.042716049,1.98779674,0.512884563,1.09028808,0.579894814
111PS0095_8.27.09_1,int,1.05652552,0.951013183,0.736664271,1.121523078,1.41690155
111PS0095_8.27.09_2,int,1.304387642,1.535531474,1.075206888,2.18713928,0.419672924
111PS0121_7.20.10_1,int,0.922366442,1.433315802,0.923369653,0.909055364,0.423724947
111PS0159_7.14.11_1,int,1.218842968,2.132984901,0.282609861,1.34140854,1.11836857
111PS0169_7.25.11_1,int,1.109873592,1.170315558,1.078045275,1.154376304,1.036757231
111PS0169_7.25.11_2,int,1.192104681,1.900680041,0.340116465,2.129361176,0.39826104
111PS0178_8.14.12_1,int,0.871415729,1.009878716,1.774318157,0.701466042,0
111PS0237_9.12.13_1,int,1.173694031,2.103547502,0.294635813,1.297199619,0.99939319
112PS0157_7.12.11_1,int,1.303548555,1.160327089,0.872365584,0.944288571,2.237212973
113GAR011_8.22.11_1,int,1.338503375,1.872521818,0.793605084,2.37812801,0.309758587
113GAR011_9.1.10_1,int,1.157667536,1.213894618,2.094681157,0.745357635,0.576736734
113GAR015_8.23.11_1,int,0.908476151,1.332435749,0.391921223,1.318711408,0.590836226
113GAR015_8.31.10_1,int,0.974211314,0.661651101,0.902037883,1.176501945,1.156654326
113GAR015_9.9.13_1,int,0.991162088,1.018389059,0.529070056,1.797672064,0.619517174
113GAR023_7.22.14_1,int,0.950606919,1.017861947,0,0.83457207,1.949993659
113GAR023_8.5.13_1,int,1.33472132,2.460278138,0.558382387,1.688887657,0.631337096
113GAR030_8.26.09_1,int,1.330160917,1.071299435,1.441299661,1.267934192,1.54011038
113GAR030_8.26.09_2,int,1.439957442,1.845885661,0.900849015,2.661477235,0.351617855
113GAR030_8.28.12_1,int,0.977426654,1.164347899,0.718176397,1.038490777,0.988691543
113GAR042_9.10.13_1,int,1.011327589,1.827788333,0.407290683,1.119474282,0.690757058
113GAR062_6.30.09_1,int,1.299281956,1.055564315,1.027903634,1.466099932,1.647559941
113GAR062_8.27.12_1,int,1.165877472,1.535531474,0.403202583,2.305102907,0.419672924
113GAR087_6.29.10_1,int,1.476985326,1.371543269,1.828085374,1.135394295,1.572918365
113GAR087_8.6.13_1,int,0.98681944,1.475622874,0.310027236,1.460560785,0.701066865
113GAR087_9.11.12_1,int,1.251524665,0.891574859,0.863278443,1.037336687,2.213908671
113GAR087_9.11.12_2,int,0.976947772,1.305458531,0.384593233,1.617284217,0.600455107
113GAR089_6.14.10_1,int,1.323010404,1.352625431,2.661477235,0.931896907,0.34604204
113GAR089_6.20.11_1,int,1.35377144,2.095792488,1.116764775,1.949993659,0.252534838
113GAR089_8.5.09_1,int,1.032995193,0,0,1.470503539,2.661477235
113GAR105_6.14.10_1,int,1.368979838,1.893490707,0.531884259,2.081724974,0.96881941
113GAR105_6.20.11_1,int,1.323818528,1.447214622,1.37106403,1.155744034,1.321251426
113GAR105_8.4.09_1,int,1.101022228,1.28398354,0,1.649601832,1.470503539
113GAR112_6.15.10_1,int,1.338916545,1.037468927,1.104996407,1.087848522,2.125352325
113GAR112_7.22.14_1,int,0.737683751,0.950910795,0,0.777952159,1.221872048
113GAR112_8.22.11_1,int,1.260566024,1.248577321,1.508170433,0.987858689,1.297657651
113GAR112_8.4.09_1,int,1.23786762,2.661477235,1.081865876,1.208127369,0
113GAR112_8.4.09_2,int,0.905025815,1.221872048,1.453942641,0.944288571,0
113GAR112_8.7.13_1,int,0.974723712,1.744981632,0.490167846,1.026007101,0.637738267
113GAR118_7.26.10_1,int,0.943489289,1.144529211,1.005446956,0.931896907,0.69208408
113GAR118_9.10.12_1,int,1.256872575,2.160113485,0.814581365,1.592290745,0.460504705
113GAR178_6.21.11_1,int,1.410179069,0.962168763,1.069351361,0.947718917,2.661477235
113GAR178_7.23.14_1,int,1.009520052,1.51772821,0,1.298479951,1.221872048
113GAR178_8.31.10_1,int,1.270172069,1.144529211,1.508170433,1.043820471,1.384168161
113GAR178_9.9.13_1,int,1.161519631,2.661477235,0.512884563,0.891821911,0.579894814
113GAR178_9.9.13_2,int,0.969882878,1.139643897,1.004542188,0.876617214,0.858728212
113GAR244_6.28.10_1,int,1.093973982,0.989822746,0.724595947,2.661477235,0
113PS0012_9.9.08_1,int,0.96749457,1.200555116,1.160131103,0.910373145,0.598918916
113PS0012_9.9.08_2,int,1.094225663,1.955605699,0.532610893,1.48722042,0.40146564
113PS0076_8.2.12_1,int,1.04798221,1.043794957,0.808533956,0.95725695,1.382342975
113PS0076_8.22.12_1,int,1.252581307,1.86266644,0.833285338,2.151750191,0.162623258
113PS0120_9.14.10_1,int,1.022894559,1.133126678,0.619796068,0.916564912,1.422090576
113PS0168_7.6.11_1,int,1.435067327,2.573673673,0.461596107,1.48722042,1.217779109
113PS0216_9.3.13_1,int,0.970449661,1.080696799,0.920830339,1.289895859,0.590375646
113PS0232_9.4.13_1,int,1.094012477,1.463884194,0.406480653,2.267699806,0.237985256
113PS0232_9.4.13_2,int,0.729623671,1.08571941,0.327863138,1.053552955,0.451359183
113PS0268_6.11.14_1,int,1.335403185,2.519383919,0.748534227,1.438944865,0.634749729
114AU7778_6.21.10_1,int,1.398875776,0.972627119,1.381245508,1.470503539,1.771126937
114FCA199_8.1.13_1,int,0.568861325,0.718034682,0.340116465,1.084540474,0.13275368
114GV3469_7.5.11_1,int,1.089669884,1.182364887,1.828085374,1.033645601,0.314583673
114GV5331_7.6.11_1,int,0.821608924,1.694858273,0.461596107,1.129981314,0
114MA2364_7.6.10_1,int,0.876244205,0.889985599,0.866663848,1.470503539,0.277823833
114MRCURX_6.24.08_1,int,1.442603292,1.58265776,1.225419615,2.38837135,0.573964441
114PS0088_8.19.09_1,int,0.900465564,1.315902569,0.887159078,1.195246468,0.203554141
114PS0209_6.10.13_1,int,1.031343273,1.434110846,0.213044357,1.514700351,0.963517537
114PS0229_6.4.13_1,int,0.686638516,0.68138849,0.749150106,1.075862663,0.240152805
114WER118_8.20.08_1,int,1.10882382,1.149794099,0.370349039,2.192382107,0.722770036
115SALG01_6.30.10_1,int,0.838937664,1.404649486,1.131127825,0.819973344,0
115SC6093_7.7.11_1,int,0.955497316,1.883175859,0.288497567,1.48722042,0.163095416
115SC6093_7.7.11_2,int,0.641048984,0.889985599,0.433331924,0.963054578,0.277823833
201LAG190_10.6.08_1,int,0.796882425,1.724691148,0.347202224,1.115636328,0
201LAG380_7.14.09_1,int,0.943528002,0.425651359,1.37106403,1.033645601,0.943751019
201RDW080_4.29.09_1,int,1.091974849,1.908624181,0.374267114,1.873424859,0.211583243
201RDW080_5.7.08_1,int,0.840061864,1.117962206,1.143099731,0.610598776,0.488586741
201RDW080_6.2.10_1,int,1.102957458,1.675414258,0.396802542,2.029854443,0.309758587
201RDW080_6.23.08_1,int,1.002564395,0.891840944,1.615896893,1.131760413,0.370759329
201RDW080_6.3.09_1,int,1.012576951,1.883175859,0.576995134,1.263945979,0.326190833
201RDW080_6.3.09_2,int,0.917264158,0.825259374,1.506813282,0.692937817,0.644046159
201RDW080_8.11.09_1,int,1.419167443,1.724691148,1.041606673,2.639333186,0.271038764
201RDW080_8.12.08_1,int,0.813646909,0.885814991,0.815227261,0.992396131,0.561149254
202LAH950_6.13.12_1,int,1.063606322,2.25981103,1.221872048,0.772742209,0
202MIC150_5.7.14_1,int,0.770260533,1.071299435,0.960866441,0.740854181,0.308022076
202PES162_4.27.09_1,int,1.234794903,1.34975829,0.362297973,2.661477235,0.565646115
202PES162_5.1.08_1,int,0.882512639,1.025617085,1.723623352,0.484202654,0.296607463
202PES162_6.16.09_1,int,1.136035603,2.535044425,0.532610893,1.075021452,0.40146564
202PES162_6.18.08_1,int,0.656947692,1.02381802,0.872365584,0.731607164,0
202PES162_6.7.10_1,int,1.268644749,1.552222033,0.781205005,2.334593814,0.406558145
202PES162_8.17.09_1,int,1.16341976,1.153576873,1.311452551,0.83457207,1.354077549
202PES162_9.10.08_1,int,1.133749075,2.21400405,0.748534227,1.149291536,0.423166486
202PES162_9.10.08_2,int,1.164639878,1.043794957,1.078045275,1.154376304,1.382342975
202PS0246_6.5.13_1,int,1.125308089,1.802580426,0.537603444,1.951212024,0.209836462
202R00248_5.23.13_1,int,0.778286278,1.178504104,1.231159537,0.703481472,0
202R00248_5.23.13_2,int,0.857231643,2.132984901,0.282609861,1.01333181,0
202TUN600_5.12.14_1,int,0.65050242,1.008650346,0.920830339,0.672528995,0
203R00983_6.6.13_1,int,0.962606825,1.826143569,0.735251769,1.097710483,0.19132148
204ALA320_6.17.13_1,int,0.421278603,0.840388582,0.580065551,0.26466028,0
204ALA382_6.11.13_1,int,0.98871307,1.898611726,0.227014479,0.930864436,0.898361638
204ALA396_6.24.13_1,int,0.759736613,0.771535436,0.419618889,0.951018996,0.896773133
204ALA410_5.8.13_1,int,1.193798634,1.744981632,0.490167846,2.029854443,0.510190614
204ALA525_5.22.12_1,int,0.951881391,1.125171423,1.05221193,0.905868172,0.724274038
204IND200_5.20.08_1,int,0.980551363,1.210613052,0.989134515,0.97687884,0.745579047
204IND200_5.20.08_2,int,0.625087235,0.466861017,0.883997125,0.582730178,0.56676062
204IND200_6.16.08_1,int,0.967230953,1.655703502,0.833285338,1.054688454,0.325246516
204R00590_5.8.13_1,int,1.22381274,1.092505156,2.639298258,0.903916017,0.25953153
204R00647_6.18.12_1,int,0.646957549,0.830812879,0.407290683,1.119474282,0.230252353
204R00751_6.5.13_1,int,0.900426168,1.089342373,1.767994251,0.744368048,0
204R00751_6.5.13_2,int,0.867193269,1.567901044,0.757532126,1.143339907,0
204SLE150_5.9.13_1,int,0.445515504,1.157954774,0.486506591,0.137600651,0
205COY140_6.17.09_1,int,0.940399134,1.533443199,0.395653806,1.385152104,0.447347428
205GCAxxx_7.15.10_1,int,0.727912892,0.498783138,0.849997236,1.017909059,0.544962134
205GCAxxx_7.15.10_2,int,1.051379422,1.432820339,0.961483083,1.56102464,0.250189628
205PS0234_5.22.13_1,int,0.819454105,1.125171423,1.40294924,0.749695758,0
205R00110_6.18.12_1,int,0.967865791,2.661477235,0.423914792,0.466537261,0.319533877
205R00374_6.3.13_1,int,0.67304681,0.736042144,0.597295355,0.975903375,0.382946365
205STE110_7.13.09_1,int,1.066627826,1.407347977,0.666628271,1.932337844,0.260197213
206NAP700_6.21.12_1,int,1.063516199,1.415538242,1.05221193,1.062040586,0.724274038
206PIN610_6.3.13_1,int,0.857703532,2.398384348,0.522561631,0.50986815,0
206PIN825_5.22.13_1,int,0.4317979,1.02381802,0.290788528,0.412585052,0
206R00407_4.24.14_1,int,0.947386888,1.773968038,0.595203813,1.4203757,0
206RIC100_5.11.09_1,int,1.197569942,1.223268321,1.222840892,1.221872048,1.122298509
206RIC100_5.2.08_1,int,1.320166009,2.661477235,0.69239416,1.665839973,0.260952666
206RIC100_6.1.10_1,int,1.284021774,1.160327089,0.581577056,1.156969979,2.237212973
206RIC100_6.17.09_1,int,1.316847814,1.655703502,0.624964004,2.661477235,0.325246516
206RIC100_6.19.08_1,int,1.115107057,1.182364887,1.828085374,1.135394295,0.314583673
206RIC100_8.12.09_1,int,1.341388912,2.398384348,0.653202038,1.723133037,0.590836226
206RIC100_8.14.08_1,int,0.928656837,1.030818485,0.849997236,1.470503539,0.36330809
206RIC100_8.2.11_1,int,1.181676964,1.949993659,0.624964004,2.151750191,0
206SON160_9.6.11_1,int,0.729384009,1.470503539,0.773420735,0.673611761,0
206SON300_7.14.09_1,int,1.066870367,2.33350052,0.602081879,1.33189907,0
