,Type,Score,prop.spp.Salinity.BF,prop.spp.HighMotility,prop.ind.most.tol,prop.spp.BCG3
514PS0131_7.28.14_1,ref,1.202830031,1.734182598,0.809919455,1.06438804,NA
514SBCAMR_8.17.11_1,ref,1.281862747,1.1296855,1.21737389,NA,1.498528853
514SBCAMR_8.29.11_1,ref,1.285322729,1.316188904,NA,1.535325161,1.004454121
514SCCAAR_7.24.08_1,ref,1.184230304,NA,1.749844629,0.981090704,0.821755579
514SFA222_7.28.14_1,ref,1.436938749,1.734479748,1.139397749,NA,NA
514SSC190_9.11.14_1,ref,0.857165404,1.132139954,1.439356257,NA,0
517FCA046_7.11.13_1,ref,1.288995981,1.427218197,NA,1.591286761,0.848482984
517FCA046_8.14.13_1,ref,0.874922315,NA,1.749844629,NA,0
517LCCAYB_8.12.08_1,ref,0.99564346,1.477943335,0.53113013,0.977856913,NA
517PS0054_7.28.10_1,ref,1.298011523,1.13244697,1.439356257,NA,1.322231341
517PS0074_9.20.11_1,ref,0.987887928,1.211239805,NA,0.982090743,0.770333236
518BTCASC_6.12.13_1,ref,0.824372916,NA,0.797373113,0.860032375,0.815713259
518CHCANF_7.12.12_1,ref,1.104985667,1.604413845,0.68494493,1.025598225,NA
518CPCRCR_8.14.08_1,ref,0.858044122,1.0442138,0.715500711,NA,0.814417855
518CPCRCR_8.20.14_1,ref,0.714520698,1.429041397,NA,NA,0
518CPCRCR_8.20.14_2,ref,0.874922315,NA,1.749844629,NA,0
518FCA075_8.12.13_1,ref,1.296224001,1.743423541,0.936641876,1.208606585,NA
518GZCUPx_6.30.14_1,ref,0.856663796,1.13063513,1.439356257,NA,0
518GZCUPx_8.20.08_1,ref,1.12177061,1.319790795,NA,1.372586254,0.672934781
518KNCAWC_8.15.11_1,ref,0.874922315,NA,1.749844629,NA,0
518MLC181_7.15.14_1,ref,1.437203245,1.735008742,1.139397749,NA,NA
518PS0033_6.29.09_1,ref,1.006984799,0.967059432,0.805120921,NA,1.248774044
518PS0073_8.16.11_1,ref,1.089888018,1.212853866,NA,1.142039469,0.914770717
518PS0089_8.1.12_1,ref,0.874922315,NA,1.749844629,NA,0
518PS0093_9.24.12_1,ref,1.001204355,1.606487406,0.386304507,1.010821152,NA
518PS0113_7.9.12_1,ref,1.09102593,1.134329204,0.640219734,NA,1.498528853
518PS0113_7.9.12_2,ref,1.255582718,1.43303878,NA,1.591286761,0.742422611
518RCNAPC_10.21.09_1,ref,0.771638717,NA,0.670376911,0.822783659,0.821755579
518RCNAPC_5.20.09_1,ref,1.314186794,1.740352997,0.762851128,1.439356257,NA
518RCNAPC_6.16.09_1,ref,1.176042783,1.133769244,0.851755873,NA,1.542603231
518RCNAPC_8.11.09_1,ref,0.714414864,1.428829728,NA,NA,0
518RCNAPC_8.18.14_1,ref,0.874922315,NA,1.749844629,NA,0
518RCNAPC_8.6.08_1,ref,1.440212991,1.741028234,1.139397749,NA,NA
518RCNAPC_9.9.09_1,ref,0.987215959,1.046474287,0.488003254,NA,1.427170336
518SDCAHR_6.12.13_1,ref,1.094281945,1.219561747,NA,1.325794518,0.737489571
518SED086_8.17.11_1,ref,1.149843424,NA,1.749844629,1.139397749,0.560287895
518SNCABC_9.26.12_1,ref,1.189603553,1.742279053,0.594054367,1.232477241,NA
518SPC134_6.18.13_1,ref,0.94274328,0.788626472,0.81987058,NA,1.219732787
518WE0521_6.19.13_1,ref,1.287802707,1.435501778,NA,1.614776816,0.813129526
518WLCBWL_8.5.13_1,ref,0.971813897,NA,0.835779223,0.986197383,1.093465085
518YLCAFR_8.17.11_1,ref,1.256543813,1.742303995,0.787954236,1.239373208,NA
522CE0027_6.9.14_1,ref,0.859162974,1.138132664,1.439356257,NA,0
522GSCBSC_9.24.09_1,ref,1.317340104,1.439356257,NA,1.597893339,0.914770717
522MFSCRB_9.18.08_1,ref,0.812981109,NA,0.569176813,0.84257204,1.027194474
522MFSCRB_9.18.08_2,ref,1.048804088,1.605101291,0.412273239,1.129037733,NA
522PS0504_6.11.13_1,ref,1.03911412,0.960243214,0.865263927,NA,1.291835218
522PS0504_6.11.13_2,ref,1.076342498,1.21606953,NA,1.228868778,0.784089186
523PS0172_8.10.11_1,ref,0.874922315,NA,1.749844629,NA,0
523TMCATG_10.5.09_1,ref,1.041445538,1.476179875,0.637335587,1.010821152,NA
524PS0342_7.18.12_1,ref,0.914674986,0.876756684,0.514429726,NA,1.352838548
524PS0650_7.1.14_1,ref,1.173941005,1.438220678,NA,1.418314542,0.665287794
524PS0650_7.1.14_2,ref,1.010467396,NA,1.397844286,0.829666574,0.803891328
524PS0650_7.17.14_1,ref,1.126755452,1.615784957,0.700093358,1.06438804,NA
526PNCAMF_6.25.13_1,ref,0.603213154,1.054041771,0.488003254,NA,0.267594438
526PS0072_8.27.08_1,ref,0.905491742,0.998128679,NA,1.040738609,0.677607939
526PS0072_8.7.14_1,ref,0.874922315,NA,1.749844629,NA,0
526PS0072_9.15.10_1,ref,1.121736668,1.615891912,0.809919455,0.939398635,NA
526PS0072_9.21.09_1,ref,1.094971855,1.052624307,0.805120921,NA,1.427170336
526PS0072_9.23.08_1,ref,1.181517114,1.330796612,NA,1.372586254,0.841168476
526PS0076_8.26.08_1,ref,0.924996022,NA,0.815689873,0.774073799,1.185224393
526PS0396_9.1.09_1,ref,1.024918575,1.478252279,0.544211154,1.052292291,NA
526PS1100_8.21.12_1,ref,0.985826581,0.963033137,0.632147648,NA,1.362298957
526PS1144_8.22.12_1,ref,0.986557429,0.8849851,NA,1.377719021,0.696968166
526PS1420_6.25.13_1,ref,0.910737032,NA,0.99084389,0.84257204,0.898795165
526PSCBLK_8.21.12_1,ref,0.974311951,1.346363517,0.598715421,0.977856913,NA
526WER123_8.21.12_1,ref,0.950341272,1.139397749,0.414822253,NA,1.296803815
526WTCACT_6.24.13_1,ref,1.171569307,1.21759849,NA,1.26999845,1.027110981
527PS1156_8.21.12_1,ref,0.874922315,NA,1.749844629,NA,0
527PS1156_8.21.12_2,ref,1.057926972,1.743155835,0.307031534,1.123593548,NA
532CPC238_7.30.14_1,ref,0.858508172,1.13616826,1.439356257,NA,0
532CRM206_7.10.14_1,ref,0.717767214,1.435534428,NA,NA,0
532PTCAER_8.19.13_1,ref,1.047107421,NA,1.46070149,0.800168367,0.880452406
534ANCACF_8.31.10_1,ref,1.315807107,1.74363553,1.139397749,1.06438804,NA
534CFSAIM_7.27.09_1,ref,1.148112748,0.879462767,0.815030849,NA,1.749844629
534DCC167_8.14.13_1,ref,1.179703959,1.323454956,NA,1.402527395,0.813129526
534MLC108_9.14.11_1,ref,1.13630567,NA,1.345044235,1.139397749,0.924475027
534PS0070_8.30.10_1,ref,1.268746142,1.748371002,0.733886003,1.323981421,NA
534RSCAGG_9.19.11_1,ref,1.090973402,1.132411342,0.56311007,NA,1.577398792
534SPC227_7.9.14_1,ref,0.719678128,1.439356257,NA,NA,0
534SRCFFC_8.29.12_1,ref,0.825685287,NA,0.815689873,0.713186474,0.948179515
534WER219_8.29.12_1,ref,1.165230535,1.606220802,0.700093358,1.189377446,NA
536CLR247_7.8.14_1,ref,0.859584669,1.139397749,1.439356257,NA,0
536HLCBFM_6.18.13_1,ref,1.057437851,1.323913227,NA,1.458098152,0.390302173
536LLCACR_9.22.11_1,ref,1.244982405,NA,1.749844629,0.54574633,1.439356257
536PS0107_7.17.12_1,ref,1.196648772,1.746266929,0.795594312,1.048085074,NA
536SED006_9.20.11_1,ref,0.995596982,1.131143815,1.106382706,NA,0.749264426
536SED108_9.21.11_1,ref,1.241454911,1.328078896,NA,1.535325161,0.860960675
536SED108_9.21.11_2,ref,0.874922315,NA,1.749844629,NA,0
536STR127_6.17.13_1,ref,1.238910359,1.743201347,0.753667064,1.219862667,NA
536TRC119_6.18.13_1,ref,0.856888717,1.131309893,1.439356257,NA,0
537ADCH41_9.12.11_1,ref,1.385087434,1.429662242,NA,1.749844629,0.975755432
537BLCABG_9.15.11_1,ref,0.874922315,NA,1.749844629,NA,0
537BSCAWR_7.15.08_1,ref,1.444621189,1.749844629,1.139397749,NA,NA
537GZCAMR_8.7.08_1,ref,1.030772108,0.96444488,0.542889004,NA,1.58498244
537TYCAML_7.16.08_1,ref,1.405293754,1.326638883,NA,1.749844629,1.139397749
539NDCACC_10.15.09_1,ref,1.197094543,NA,1.381844271,0.995482254,1.213957106
539NDCACC_10.8.09_1,ref,1.197788933,1.613830479,0.651281759,1.328254563,NA
539NDCACC_5.5.09_1,ref,0.858209859,1.135273321,1.439356257,NA,0
539NDCACC_6.15.09_1,ref,0.717465477,1.434930953,NA,NA,0
539NDCACC_9.10.09_1,ref,1.184940237,NA,1.449992485,0.963501032,1.141327194
540BCA168_6.24.14_1,ref,1.438892198,1.738386647,1.139397749,NA,NA
540CQCBBR_9.14.11_1,ref,1.158030005,1.138152758,1.183222756,NA,1.152714502
540GNCBTC_9.13.11_1,ref,1.26626858,1.439113966,NA,1.749844629,0.609847145
540MNCANF_9.29.10_1,ref,1.217977104,NA,1.075177306,1.139397749,1.439356257
540MNCASJ_8.24.10_1,ref,1.370753003,1.747772554,1.139397749,1.225088705,NA
540SDC212_6.16.14_1,ref,0.859584669,1.139397749,1.439356257,NA,0
540SED003_8.30.11_1,ref,1.311717836,1.434727777,NA,1.749844629,0.750581101
540SSJ200_6.24.14_1,ref,0.874922315,NA,1.749844629,NA,0
552DKC268_6.23.14_1,ref,1.437383863,1.735369978,1.139397749,NA,NA
552DRCAEF_6.25.14_1,ref,0.857286944,1.132504576,1.439356257,NA,0
552FCA017_7.30.13_1,ref,0.886499822,0.879295356,NA,1.156174473,0.624029637
552FCA017_7.9.13_1,ref,0.997422799,NA,1.088946026,0.897091047,1.006231322
552KRSFBC_7.14.08_1,ref,1.280183593,1.741037928,0.660156595,1.439356257,NA
552MFC120_7.22.13_1,ref,0.919118424,0.786563854,1.014283638,NA,0.956507778
552MFCAKR_6.11.08_1,ref,0.902727969,0.988986058,NA,1.059903637,0.659294211
552PS0028_6.18.08_1,ref,0.925274708,NA,0.874600534,0.81850509,1.0827185
552PS0028_6.18.08_2,ref,1.442224712,1.745051676,1.139397749,NA,NA
552PS0072_8.30.11_1,ref,1.126880853,1.13745506,1.209719325,NA,1.033468174
552PS0284_8.29.11_1,ref,1.08255955,1.327910408,NA,1.246833462,0.672934781
553KRMAPC_8.22.11_1,ref,1.271239135,NA,1.749844629,1.139397749,0.924475027
553KRNAYC_10.13.11_1,ref,1.440072882,1.740748015,1.139397749,NA,NA
553KRNAYC_6.17.14_1,ref,0.858925497,1.137420233,1.439356257,NA,0
553KRNAYC_6.17.14_2,ref,0.718442736,1.436885473,NA,NA,0
553KRNAYC_8.24.11_1,ref,1.246247393,NA,1.51172675,1.139397749,1.087617679
554CLCALK_8.23.11_1,ref,1.242353572,1.607828845,0.846528155,1.272703716,NA
554FSC207_6.19.14_1,ref,0.859584669,1.139397749,1.439356257,NA,0
554LCCADR_6.10.08_1,ref,0.936089762,1.106692771,NA,0.990088179,0.711488336
554NYCGWD_8.25.11_1,ref,1.180737075,NA,1.273608871,0.999715062,1.268887292
554NYCGWD_8.25.11_2,ref,1.441094608,1.742791467,1.139397749,NA,NA
554PMCABC_8.24.11_1,ref,1.13588953,1.135730583,0.773409155,NA,1.498528853
554PMCGWD_8.23.11_1,ref,1.367993478,1.438752493,NA,1.567503081,1.097724861
554SED027_8.24.11_1,ref,0.874922315,NA,1.749844629,NA,0
555PS0064_6.17.08_1,ref,0.913820632,1.347104412,0.500409543,0.893947942,NA
601PS0077_8.7.12_1,ref,1.013336109,0.787879611,0.646562088,NA,1.605566628
601PS0077_8.7.12_2,ref,1.298279143,1.213985392,NA,1.541454289,1.139397749
603DDM004_7.9.13_1,ref,1.00910598,NA,1.243844136,0.916778467,0.866695338
603DDM005_9.13.11_1,ref,1.368255729,1.745665376,0.919745553,1.439356257,NA
603DDM005_9.13.11_2,ref,1.315056111,1.138083698,1.201518006,NA,1.605566628
603FCA145_8.21.13_1,ref,1.203206472,1.439356257,NA,1.407954227,0.762308931
603GLS001_8.1.10_1,ref,0.86057291,NA,0.99084389,0.916778467,0.674096374
603GSCADC_8.25.10_1,ref,1.440849615,1.742301481,1.139397749,NA,NA
603OHCAOR_8.24.10_1,ref,1.191907323,1.134238742,1.192709182,NA,1.248774044
603PS0008_7.30.08_1,ref,0.716419543,1.432839086,NA,NA,0
603PS0045_8.29.11_1,ref,1.094792758,NA,1.22752154,1.062797566,0.994059169
603PS0045_8.29.11_2,ref,1.010556476,1.204014889,0.861942344,0.965712194,NA
603PS0056_8.31.11_1,ref,0.856990153,1.131614203,1.439356257,NA,0
603PS0073_9.13.11_1,ref,0.71595792,1.431915839,NA,NA,0
603PS0075_7.31.12_1,ref,0.890030316,NA,0.99084389,0.619952758,1.059294302
603PS0075_8.15.12_1,ref,1.189298757,1.609615737,0.910195458,1.048085074,NA
603PS0076_7.23.12_1,ref,1.228891823,1.046537023,1.055156006,NA,1.58498244
603PS0092_7.25.12_1,ref,1.202412941,1.318212721,NA,1.428065427,0.860960675
603PS0109_7.29.08_1,ref,0.865523443,NA,1.300066413,0.611707599,0.684796316
603PS0557_8.18.10_1,ref,1.230653552,1.603256395,0.910195458,1.178508802,NA
603PS1056_7.24.12_1,ref,1.025738116,0.955129225,0.773409155,NA,1.348675968
603PS1056_8.14.12_1,ref,1.02982149,1.206750468,NA,1.098624815,0.784089186
603PS1488_7.10.13_1,ref,1.048600206,NA,1.381844271,0.923524506,0.840431843
603RCC156_7.16.13_1,ref,1.280196193,1.736061738,0.795594312,1.308932529,NA
603RCC156_7.16.13_2,ref,1.150688278,1.136306734,0.738359307,NA,1.577398792
603SPCBWC_7.22.08_1,ref,1.237146026,1.438867325,NA,1.749844629,0.522726124
626PS0171_5.15.08_1,ref,0.907401441,NA,0.99084389,0.768365612,0.96299482
626PS0619_6.3.10_1,ref,1.437371591,1.735345433,1.139397749,NA,NA
626PS0827_6.3.10_1,ref,1.213316868,1.130216594,1.439356257,NA,1.070377752
626PS1195_5.23.13_1,ref,1.166284491,1.317087104,NA,1.320805693,0.860960675
628MRW138_5.21.14_1,ref,0.874922315,NA,1.749844629,NA,0
630FCA097_8.22.13_1,ref,1.149413228,1.739479032,0.612232479,1.096528173,NA
630PS0005_7.31.08_1,ref,1.161484871,1.132494792,1.055156006,NA,1.296803815
630PS0005_7.31.08_2,ref,1.361956154,1.319203527,NA,1.628283597,1.138381337
630PS0005_8.25.14_1,ref,0.874922315,NA,1.749844629,NA,0
630PS0005_8.25.14_2,ref,1.439241423,1.739085098,1.139397749,NA,NA
630RBS005_8.12.14_1,ref,0.857151851,1.132099296,1.439356257,NA,0
630RBS005_8.7.12_1,ref,1.046170701,1.206156925,NA,1.209573376,0.722781801
630SED034_8.6.12_1,ref,1.092140645,NA,1.316129921,0.969783058,0.990508957
631DEP001_8.28.12_1,ref,1.009852907,1.467472182,0.456035362,1.106051176,NA
631LWK002_8.12.14_1,ref,0.856093221,1.128923407,1.439356257,NA,0
631PS0001_7.28.09_1,ref,1.193622327,1.097980586,NA,1.385161533,1.097724861
631PS0001_9.29.10_1,ref,0.874922315,NA,1.749844629,NA,0
631PS0011_7.28.09_1,ref,1.440546056,1.741694363,1.139397749,NA,NA
631PS0023_8.4.09_1,ref,0.848331716,0.869671721,0.551426787,NA,1.12389664
631PS0023_8.4.09_2,ref,1.003104241,1.095208602,NA,1.263600501,0.650503621
631PS0033_8.30.10_1,ref,0.874922315,NA,1.749844629,NA,0
631PS0145_7.2.14_1,ref,1.295817065,1.740463081,1.007606432,1.139381684,NA
631WWK005_7.29.10_1,ref,1.111267882,1.048902758,1.231247788,NA,1.0536531
631WWK005_7.29.10_2,ref,1.115370336,1.432006887,NA,1.263600501,0.650503621
631WWK005_7.29.10_3,ref,1.160464233,NA,1.749844629,0.875552674,0.855995395
632CHV001_7.23.10_1,ref,0.937512679,1.070021858,0.678128138,1.06438804,NA
632DIX001_9.3.12_1,ref,0.944734723,1.136378887,0.405990064,NA,1.291835218
632ELD001_9.8.11_1,ref,1.264588313,1.434073164,NA,1.749844629,0.609847145
632HNCAHL_8.31.10_1,ref,0.751787074,NA,0.304128936,0.630553676,1.32067861
632HOS002_9.4.12_1,ref,0.980737473,1.345708974,0.544211154,1.052292291,NA
632MUR001_9.7.11_1,ref,1.169126711,1.139397749,0.927089255,NA,1.440893128
632NOB001_7.25.10_1,ref,0.719678128,1.439356257,NA,NA,0
632NOB001_9.1.10_1,ref,1.069130633,NA,1.026986782,0.969783058,1.210622059
632PS0007_7.23.08_1,ref,1.160629651,1.612111955,0.687541804,1.182235194,NA
632PS0014_8.3.09_1,ref,0.960045345,0.960444153,1.055156006,NA,0.864535877
632PS0058_8.15.11_1,ref,1.08910153,1.327929777,NA,1.188793712,0.750581101
632SVK001_8.27.14_1,ref,0.874922315,NA,1.749844629,NA,0
633PS0003_7.22.08_1,ref,1.444621189,1.749844629,1.139397749,NA,NA
633PS0083_9.4.12_1,ref,1.185712109,1.05818434,1.136653029,NA,1.362298957
633WCR003_9.4.12_1,ref,1.161755105,1.211819425,NA,1.489356703,0.784089186
633WE0991_9.9.14_1,ref,0.874922315,NA,1.749844629,NA,0
634CAT055_10.4.11_1,ref,1.441736285,1.746454848,1.139397749,1.439356257,NA
634CAT055_8.11.10_1,ref,1.442459841,1.138178637,1.439356257,NA,1.749844629
634CLD001_9.9.14_1,ref,0.717052315,1.434104631,NA,NA,0
634EGL005_10.3.11_1,ref,1.403306996,NA,1.749844629,1.139397749,1.32067861
634GACALL_9.10.13_1,ref,1.308414043,1.610070759,0.875815114,1.439356257,NA
634GRF001_10.3.11_1,ref,0.857451973,1.132999662,1.439356257,NA,0
634HHCATC_10.4.11_1,ref,1.292314597,1.430130996,NA,1.749844629,0.696968166
634HID001_10.3.11_1,ref,1.307320586,NA,1.381844271,1.139397749,1.400719738
634MKC278_9.8.14_1,ref,1.437662371,1.735926993,1.139397749,NA,NA
634PS0019_8.5.09_1,ref,0.857752225,1.133900417,1.439356257,NA,0
634PS0035_9.1.10_1,ref,1.366997166,1.211749119,NA,1.749844629,1.139397749
634PS0062_10.12.11_1,ref,1.038337877,NA,1.426004314,0.949429295,0.739580021
634PS0099_9.10.12_1,ref,1.439741521,1.740085293,1.139397749,NA,NA
634R10BMW_9.29.11_1,ref,0.85746643,1.133043033,1.439356257,NA,0
634R10GNL_10.3.11_1,ref,0.714493732,1.428987465,NA,NA,0
634R10GNL_10.3.11_2,ref,0.874922315,NA,1.749844629,NA,0
634R10UTR_9.28.11_1,ref,1.35914698,1.738307512,0.899777172,1.439356257,NA
634TRT001_8.26.13_1,ref,1.090308084,1.046596143,1.153950356,NA,1.070377752
634UTRADC_8.21.13_1,ref,0.716227467,1.432454934,NA,NA,0
634WSN001_10.4.11_1,ref,1.41961167,NA,1.749844629,1.139397749,1.369592632
635CLS001_7.9.10_1,ref,1.064064217,1.337236518,0.748904957,1.106051176,NA
635PRN001_9.2.14_1,ref,0.857367649,1.132746689,1.439356257,NA,0
635PS0038_8.9.10_1,ref,0.939355165,1.101319001,NA,1.228868778,0.487877716
635PS0038_8.9.10_2,ref,1.078955107,NA,1.524955521,0.941513943,0.770395856
636PS0070_9.21.11_1,ref,1.203435162,1.606332145,0.829300532,1.17467281,NA
636SAG001_7.12.10_1,ref,1.099951503,0.960196365,1.207049128,NA,1.132609017
636SHCWES_7.30.13_1,ref,1.141178057,1.211554821,NA,1.344641189,0.867338162
636SHCWES_7.30.13_2,ref,0.976406727,NA,1.004159693,0.95192888,0.973131607
639PS1279_6.11.13_1,ref,1.440547105,1.74169646,1.139397749,NA,NA
641OWC157_7.24.13_1,ref,1.137826081,1.04549586,0.927089255,NA,1.440893128
705PCCPCP_5.21.13_1,ref,1.007884574,1.207680146,NA,1.174029214,0.641944363
719HOTCPF_4.15.14_1,ref,0.874922315,NA,1.749844629,NA,0
719HOTCPF_5.14.13_1,ref,1.042229801,1.201818667,0.969344436,0.9555263,NA
719MISSCK_5.21.13_1,ref,1.178525914,1.044570406,0.913608545,NA,1.577398792
719NP7AZC_4.9.14_1,ref,0.71425616,1.42851232,NA,NA,0
719NP7BNC_4.9.14_1,ref,0.874922315,NA,1.749844629,NA,0
719NP7DPC_4.8.14_1,ref,1.440305245,1.741212741,1.139397749,NA,NA
719NP7TWP_4.9.14_1,ref,0.859489528,1.139112326,1.439356257,NA,0
719TRMDSS_4.8.14_1,ref,0.715031445,1.43006289,NA,NA,0
719TRMDSS_5.15.13_1,ref,0.919368655,NA,1.026986782,0.630553676,1.100565508
719WWRAEF_6.9.10_1,ref,1.028693808,1.346597907,0.700093358,1.039390159,NA
719WWRAEF_6.9.10_2,ref,1.208330845,1.044756637,1.192709182,NA,1.387526716
719WWRPUS_5.13.13_1,ref,1.045101843,1.209468584,NA,1.228868778,0.696968166
719WWRPUS_5.13.13_2,ref,1.078953232,NA,1.749844629,0.580667002,0.906348065
722ABSPPC_4.21.14_1,ref,1.442443149,1.745488549,1.139397749,NA,NA
722ABSPPC_5.20.13_1,ref,0.637590232,0.70157896,0.365248027,NA,0.845943707
722NP7IDC_4.16.14_1,ref,0.718658321,1.437316642,NA,NA,0
801BNC530_6.19.14_1,ref,0.907766161,NA,1.110686112,0.639480765,0.973131607
801CCCCTT_5.15.13_1,ref,1.140689598,1.611801889,0.779966883,1.030300021,NA
801CCWFAC_6.7.11_1,ref,1.196334162,1.04951229,1.201518006,NA,1.33797219
801DRC025_6.25.14_1,ref,1.034370434,1.215476213,NA,1.074505563,0.813129526
801DRC025_6.25.14_2,ref,1.150314771,NA,1.581177798,0.84257204,1.027194474
801EEWADD_6.5.12_1,ref,1.143751263,1.742326953,0.723214641,0.965712194,NA
801LCMFAS_5.13.13_1,ref,1.308067451,1.04716417,1.127193553,NA,1.749844629
801S01671_7.10.12_1,ref,1.115227351,1.327114937,NA,1.180027292,0.838539824
801S02567_7.10.12_1,ref,1.032445116,NA,1.026986782,0.969783058,1.100565508
801S03111_6.6.12_1,ref,1.112722761,1.473639452,1.139397749,0.725131082,NA
801S03488_5.7.14_1,ref,0.857860718,1.134225897,1.439356257,NA,0
801S03488_6.6.12_1,ref,0.737400441,1.100432031,NA,0.5982138,0.51355549
801SNP001_5.13.14_1,ref,1.026202275,NA,1.364320444,0.687091906,1.027194474
801SNP001_6.18.14_1,ref,1.183341257,1.741522886,1.000670046,0.807830839,NA
801WBC106_6.25.14_1,ref,1.164783164,1.139192743,1.106382706,NA,1.248774044
801WBC106_6.25.14_2,ref,1.083877386,1.218434707,NA,1.188793712,0.844403739
801WCC247_6.5.14_1,ref,0.874922315,NA,1.749844629,NA,0
801WE0674_5.14.13_1,ref,1.009907385,1.211397567,0.817955511,1.000369077,NA
801WE1008_5.14.13_1,ref,1.019277755,1.050807632,0.985301414,NA,1.021724218
801WE1132_3.26.09_1,ref,0.990641972,1.218739857,NA,0.755254367,0.997931692
801WE1132_4.29.09_1,ref,0.874922315,NA,1.749844629,NA,0
801WE1132_6.1.09_1,ref,1.266184194,1.748665102,1.01958746,1.030300021,NA
801WE1132_7.8.09_1,ref,1.377321267,1.138629709,1.243489462,NA,1.749844629
801WE1132_8.19.09_1,ref,1.229622404,1.438386022,NA,1.252549498,0.997931692
802FMCAIP_6.7.11_1,ref,0.874922315,NA,1.749844629,NA,0
802S45233_6.12.13_1,ref,1.444522665,1.749647581,1.139397749,NA,NA
901ATCAAS_6.5.08_1,ref,1.080183874,1.05193094,1.439356257,NA,0.749264426
901BELOLV_3.26.15_1,ref,0.718299926,1.436599852,NA,NA,0
901BELOLV_3.26.15_2,ref,0.874922315,NA,1.749844629,NA,0
901BELOLV_3.27.14_1,ref,1.44294569,1.746493631,1.139397749,NA,NA
901BELOLV_4.4.13_1,ref,1.037886155,1.04987727,1.055156006,NA,1.008625189
901BELOLV_5.1.14_1,ref,0.717986444,1.435972889,NA,NA,0
901CSCADC_5.26.11_1,ref,1.057342027,NA,0.593272074,1.139397749,1.439356257
901DCCSMC_5.16.11_1,ref,1.31634561,1.745731423,1.024796603,1.178508802,NA
901NP9FLC_3.25.15_1,ref,1.111718396,0.965301179,1.047622667,NA,1.322231341
901NP9FLC_3.27.14_1,ref,0.719678128,1.439356257,NA,NA,0
901NP9FLC_4.30.14_1,ref,0.791801609,NA,1.142644038,0.308285763,0.924475027
901NP9FLC_4.30.14_2,ref,0.79244312,1.343861992,0.829300532,0.204166837,NA
901S00469_5.13.09_1,ref,0.85880569,1.137060814,1.439356257,NA,0
901S01705_5.14.09_1,ref,0.890691775,1.326072812,NA,0.939437749,0.406564763
901S01849_6.1.10_1,ref,0.870977327,NA,1.00021427,0.699655957,0.913061755
901S02873_6.1.10_1,ref,0.718007682,0.941468332,0.500409543,0.71214517,NA
901S06969_5.31.12_1,ref,0.746592032,0.613029797,0.690165767,NA,0.936580533
901SCCA74_3.7.13_1,ref,1.036019702,1.214395063,NA,1.156174473,0.737489571
901SCCA74_4.1.13_1,ref,0.896586907,NA,1.041443939,0.723841756,0.924475027
901SCCA74_6.8.10_1,ref,1.089031842,1.615472887,0.612232479,1.039390159,NA
901SJSMT2_5.5.08_1,ref,0.859532464,1.139241135,1.439356257,NA,0
902ARO100_4.21.14_1,ref,0.989598814,0.997833263,NA,1.095285226,0.875677952
902ARO100_5.5.14_1,ref,0.930594707,NA,1.090867243,0.697610647,1.003306231
902ASTRLC_4.3.13_1,ref,0.960779998,1.347210447,0.651281759,0.883847788,NA
902SMSTN1_5.6.08_1,ref,0.506283556,0.440141821,0.32944442,NA,0.749264426
903ACPCT1_3.26.13_1,ref,0.94121543,1.105299741,NA,1.040738609,0.677607939
903ACPCT1_5.29.12_1,ref,0.885063625,NA,1.230869765,0.713186474,0.711134636
903FCPSPx_4.8.15_1,ref,1.444605958,1.749814167,1.139397749,NA,NA
903FRC_4.8.14_1,ref,1.167455556,1.052039411,0.84476063,NA,1.605566628
903FRC_5.12.14_1,ref,1.341693008,1.322680222,NA,1.571950436,1.130448366
903NP9LWF_5.8.15_1,ref,0.721051255,NA,0.550436054,0.699655957,0.913061755
903NP9UAC_4.9.15_1,ref,0.737473998,0.944591257,0.495084642,0.772746094,NA
903SLFRCx_5.7.08_1,ref,0.85900385,1.137655292,1.439356257,NA,0
903WE0798_4.8.15_1,ref,1.066330159,1.106161218,NA,1.312224914,0.780604345
903WE0900_4.8.15_1,ref,0.716293814,NA,0.444036906,0.9095972,0.795247335
905BCC_4.11.14_1,ref,0.853757223,1.215299057,0.562810735,0.783161878,NA
905BCC_5.13.14_1,ref,1.100536829,0.878311905,0.8339498,NA,1.589348783
905BCC_6.11.14_1,ref,0.954220143,0.888825583,NA,1.086784455,0.887050393
905DGCC1x_3.25.14_1,ref,0.796865659,NA,0.765195022,0.625969495,0.999432461
905DGCC1x_4.3.13_1,ref,0.875306374,1.211208325,0.459184498,0.9555263,NA
905S02561_5.25.11_1,ref,0.859277304,1.138475654,1.439356257,NA,0
905SDBDN9_3.25.14_1,ref,0.731001598,0.88334393,NA,0.755254367,0.554406495
905SDISS2_5.8.08_1,ref,0.569503515,NA,0.593272074,0.234786063,0.880452406
905WE0679_3.27.15_1,ref,0.773710597,1.078053406,0.55365856,0.689419824,NA
907CCCR02_3.29.10_1,ref,1.414176656,1.053329081,1.439356257,NA,1.749844629
907CCCR02_5.5.10_1,ref,1.027142848,1.328520936,NA,0.838136889,0.914770717
907CCCR02_5.8.08_1,ref,0.548820942,NA,0.693843601,0.416691674,0.535927552
907CCCR02_6.9.10_1,ref,0.835507353,1.343659523,0.53113013,0.631732406,NA
907CCCR02_7.13.10_1,ref,0.934414507,0.789692954,0.980082393,NA,1.033468174
907CCCR02_8.24.10_1,ref,0.824010772,1.107487709,NA,0.921019411,0.443525196
