,Type,Combo,cnt.spp.IndicatorClass_TP_high,prop.spp.IndicatorClass_DOC_high,prop.spp.Green,prop.spp.BCG3
111BGCAER_6.11.14_1,ref,1.098613044,1.58706058,1.212815546,1.325107873,0.269468179
111CBCAER_8.8.13_1,ref,1.072831421,0.801958651,1.192995055,1.043429414,1.252942563
111CBCAER_8.8.13_2,ref,0.883482062,0.530043149,1.058354908,1.30905507,0.63647512
111CE0569_5.11.10_1,ref,0.603617617,1.077872716,0,1.336597751,0
111CE0569_6.15.10_1,ref,0.926218674,1.58706058,0.792706243,1.325107873,0
111CE0569_7.20.10_1,ref,1.222209545,1.069278201,0.48839336,1.347340894,1.983825725
111CE0569_9.1.10_1,ref,0.998558697,1.060086298,0.950322764,1.983825725,0
111ERATRC_10.10.12_1,ref,1.149111601,1.077872716,1.786038954,1.035109537,0.697425196
111FS0001_7.5.11_1,ref,0.947652822,1.58706058,0.878442836,1.325107873,0
111FS0007_7.11.11_1,ref,0.770877888,1.069278201,0.666892456,1.347340894,0
111FS0008_5.2.12_1,ref,0.885124945,1.060086298,0.496587757,1.983825725,0
111FS0008_6.7.12_1,ref,0.92840384,1.077872716,1.532871888,0.572827608,0.530043149
111FS0008_7.19.12_1,ref,0.881238617,1.190295435,0.94274528,1.167356936,0.224556816
111FS0008_7.6.11_1,ref,1.131265358,1.069278201,0.785891854,1.347340894,1.322550483
111HSCAER_7.26.11_1,ref,1.057109635,1.060086298,1.202397767,1.668932752,0.297021722
111HSCAER_7.26.11_2,ref,1.066797967,1.077872716,1.770411358,1.124439378,0.294468416
111PAL105_7.13.11_1,ref,1.140130093,1.58706058,0.878442836,1.325107873,0.769909083
111PS0060_10.7.08_1,ref,0.88984538,1.069278201,1.125890132,0.797405835,0.56680735
111PS0110_6.24.09_1,ref,1.155205496,1.060086298,1.000737764,1.668932752,0.891065167
111PS0110_6.9.14_1,ref,1.223686467,1.077872716,1.981131855,1.151814652,0.683926644
111PS0144_8.18.10_1,ref,1.186021853,1.58706058,1.212815546,1.135806748,0.808404537
111PS0160_7.25.11_1,ref,1.058510008,1.069278201,1.023890648,1.347340894,0.79353029
111PS0204_8.17.10_1,ref,1.021245447,1.060086298,1.041069765,1.983825725,0
111RSCAER_8.8.11_1,ref,0.795893053,1.077872716,1.532871888,0.572827608,0
111TGCAER_7.24.12_1,ref,1.026317816,1.58706058,1.032768702,0.946505624,0.538936358
111TGCAER_8.17.10_1,ref,0.818917797,0.801958651,0.785891854,1.026545443,0.661275242
111WE0816_6.12.13_1,ref,0.961998365,1.060086298,1.303227769,1.039146808,0.445532584
111WE1050_6.12.13_1,ref,1.124728636,1.077872716,1.910140457,0.887321196,0.623580176
111WE1071_7.26.12_1,ref,1.122858796,1.58706058,1.311022915,0.98092401,0.612427679
111WER003_6.10.14_1,ref,1.030637354,1.069278201,1.243581844,1.199281455,0.610407915
111WER008_7.23.12_1,ref,1.14264443,1.060086298,1.144780624,1.983825725,0.381885072
111WER159_10.19.09_1,ref,1.229035256,1.077872716,1.176562684,1.336597751,1.325107873
111WER159_5.21.09_1,ref,0.993024553,1.58706058,0.792706243,0.694104124,0.898227263
111WER159_6.24.09_1,ref,1.222209545,1.069278201,0.48839336,1.347340894,1.983825725
111WER159_8.3.09_1,ref,1.165633416,1.060086298,0.950322764,1.983825725,0.668298876
111WER159_9.16.09_1,ref,0.675065035,1.077872716,0.285789674,1.336597751,0
113RG8046_8.19.10_1,ref,0.868011057,1.190295435,0.94274528,0.496915452,0.842088059
113RG8046_8.19.10_2,ref,0.863938314,0.801958651,0.785891854,0.545352267,1.322550483
114CE0131_7.31.12_1,ref,0.815813575,0.530043149,0.885503477,0.931183503,0.916524172
114PS0145_6.20.11_1,ref,1.123650817,1.077872716,1.81282912,0.972897683,0.631003749
114WE0614_7.9.12_1,ref,0.749556911,0.396765145,0.972753087,0.820304874,0.808404537
114WE0614_7.9.12_2,ref,0.799143602,0.26731955,0.904891251,0.834068173,1.190295435
115EBAG01_7.1.10_1,ref,0.956659346,1.060086298,1.177190267,0.921061944,0.668298876
201AHO350_6.20.12_1,ref,0.897758288,1.077872716,1.176562684,1.336597751,0
201CHE300_6.18.12_1,ref,0.936294394,1.58706058,0.672675014,0.946505624,0.538936358
201LAG335_7.15.09_1,ref,0.982516111,1.069278201,0.190894867,1.347340894,1.322550483
201MRS020_9.13.10_1,ref,1.288564997,1.060086298,1.041069765,1.983825725,1.069278201
202BUT030_6.29.10_1,ref,0.897758288,1.077872716,1.176562684,1.336597751,0
202BUT040_6.14.11_1,ref,0.728042113,1.58706058,0,1.325107873,0
202BUT040_6.4.14_1,ref,1.035068829,1.069278201,1.238089564,1.039377261,0.79353029
202BUT050_6.16.09_1,ref,0.760978006,1.060086298,0,1.983825725,0
202BUT480_6.25.12_1,ref,0.786411661,1.077872716,0.731176179,1.336597751,0
202BUT600_6.26.12_1,ref,0.891583726,1.58706058,1.032768702,0.946505624,0
202DRY010_6.5.13_1,ref,0.604154774,1.069278201,0,1.347340894,0
202PES168_6.6.13_1,ref,0.760978006,1.060086298,0,1.983825725,0
202R00024_6.6.12_1,ref,1.259539891,1.347340894,1.983825725,0.381885072,1.325107873
202R00280_5.22.13_1,ref,0.950390442,1.983825725,0.49262817,1.325107873,0
202SPE090_6.15.09_1,ref,1.105281305,1.069278201,0.870891423,1.347340894,1.1336147
204AHOACR_6.2.14_1,ref,0.889673421,0.530043149,1.074068675,1.468546316,0.486035546
204ALA500_6.10.13_1,ref,0.583048166,0.269468179,1.112936041,0.381885072,0.567903374
204ALA500_6.10.13_2,ref,0.641496165,0.396765145,0.830216003,0.496915452,0.842088059
204ARH090_6.2.14_1,ref,0.834521526,0.5346391,0.860266477,0.785948855,1.157231673
204IND200_4.13.09_1,ref,0.827233399,1.325107873,0,1.983825725,0
204IND200_4.29.08_1,ref,1.054202633,1.347340894,1.532871888,1.336597751,0
204IND200_5.25.10_1,ref,1.191525148,1.58706058,1.254364818,0.888259124,1.036416073
204IND200_5.25.10_2,ref,1.188074099,1.069278201,1.261889443,0.834068173,1.58706058
204IND200_6.11.09_1,ref,0.835803866,0.795064724,1.01514205,0.769238546,0.763770144
204R00189_5.6.13_1,ref,1.232736529,1.347340894,1.399255937,0.859241411,1.325107873
204SIN300_5.15.12_1,ref,1.034641132,1.58706058,1.092784317,1.009605999,0.449113631
204VAL400_5.19.14_1,ref,0.992021222,1.069278201,1.142890046,0.962386353,0.79353029
205AAG075_6.12.13_1,ref,0.760978006,1.060086298,0,1.983825725,0
205AAG375_5.14.14_1,ref,1.108596716,1.077872716,1.876455764,0.722853886,0.757204499
205AAG400_6.5.12_1,ref,1.069569897,1.190295435,0.878442836,1.054677695,1.154863624
205AAG400_6.5.12_2,ref,0.984236608,0.801958651,0.785891854,1.026545443,1.322550483
205COY585_5.28.13_1,ref,1.038517874,1.060086298,1.233907143,1.275316537,0.584761516
205COY610_4.15.09_1,ref,1.090130502,1.077872716,1.532871888,0.954712679,0.795064724
205COY610_4.15.09_2,ref,1.196135846,1.58706058,1.248824915,0.870785174,1.077872716
205COY610_4.30.08_1,ref,1.185293651,1.336597751,1.325107873,0.997382221,1.082086759
205COY610_6.3.10_1,ref,0.960466165,0.795064724,1.124836228,0.89381159,1.028152116
205COY610_6.8.09_1,ref,1.038270427,0.808404537,1.800103791,0.572827608,0.971745774
205COY615_6.3.14_1,ref,0.827238608,0.79353029,1.192810341,0.623992596,0.698621204
205COY615_6.3.14_2,ref,0.825310887,0.26731955,1.178814392,0.657328037,1.19778157
205COY850_5.21.12_1,ref,1.036094393,1.060086298,1.258862568,1.076933965,0.748494741
205COY853_5.29.14_1,ref,0.965850586,0.538936358,1.790888898,0.711096341,0.822480749
205COY900_5.16.12_1,ref,0.755170933,1.190295435,0.919054906,0.627682677,0.283650715
205COY930_5.7.13_1,ref,1.095174131,1.069278201,1.238089564,0.962386353,1.110942406
205CYCAHH_6.10.08_1,ref,1.076012241,1.060086298,1.041069765,1.1336147,1.069278201
205CYCBBC_6.28.10_1,ref,1.132259357,1.077872716,1.876455764,0.722853886,0.851855061
205LGA700_5.23.12_1,ref,1.188034379,1.58706058,0.49262817,1.325107873,1.347340894
205R00021_5.16.12_1,ref,0.926983852,1.336597751,1.325107873,0.384954541,0.661275242
205R00182_5.7.13_1,ref,0.639588108,1.325107873,0.194097753,1.039146808,0
205SFC880_6.19.12_1,ref,0.95949082,1.077872716,1.176562684,0.700122632,0.883405249
205WUN450_6.11.12_1,ref,0.936294394,1.58706058,0.672675014,0.946505624,0.538936358
205WUN550_5.6.13_1,ref,0.670984661,1.336597751,0,1.347340894,0
206BRC020_6.27.12_1,ref,0.885124945,1.060086298,0.496587757,1.983825725,0
206BRC020_6.27.12_2,ref,0.786411661,1.077872716,0.731176179,1.336597751,0
206HCT020_5.29.12_1,ref,1.058006963,1.190295435,0.94274528,1.088481467,1.010505671
206RCCBDC_7.20.10_1,ref,0.805548822,1.069278201,0.785891854,0.705749992,0.661275242
206TUL120_6.13.11_1,ref,0.927277014,0.795064724,0.950322764,1.629571131,0.334149438
207GVC800_5.23.13_1,ref,0.675065035,1.077872716,0.285789674,1.336597751,0
207SUI290_6.4.12_1,ref,0.680907113,1.190295435,0.717686725,0.141975844,0.673670447
207SUI800_5.5.14_1,ref,0.994350918,1.069278201,1.023890648,1.090704534,0.79353029
