"","cnt.spp.IndicatorClass_TP_high","prop.spp.IndicatorClass_DOC_high","prop.spp.Green","prop.spp.BCG3","sba.pMMI"
"000CAT148_8/10/10_1",0.708017922411679,0.316136035792954,0.907509038336267,1,0.732915749135225
"000CAT228_8/10/10_1",0.708017922411679,0.316136035792954,0.907509038336267,1,0.732915749135225
"102PS0139_8/9/10_1",0.708017922411679,0.728786425594069,0.722303112145192,0.386762795786034,0.636467563984244
"102PS0177_8/28/12_1",0.708017922411679,0.662762363225891,0.907509038336267,0.541467914100447,0.704939309518571
"102PS0177_8/28/12_2",0.708017922411679,0.765466460243057,0.475361877223759,0.300815507833581,0.562415441928019
"103CDCHHR_9/14/10_1",0.708017922411679,0,0.907509038336267,0,0.403881740186987
"103CDCHHR_9/14/10_2",0.708017922411679,0,0.907509038336267,0,0.403881740186987
"103FC1106_7/15/14_1",0.708017922411679,0.749418945084125,0.745453852919077,0.338417446312779,0.635327041681915
"103FCA168_7/24/13_1",0.708017922411679,0.662762363225891,0.907509038336267,0,0.569572330993459
"103KLCMSR_9/14/10_1",0.708017922411679,0.604991308653735,0.907509038336267,0.676834892625559,0.72433829050681
"103PS0217_9/10/13_1",0.708017922411679,0.662762363225891,0.648220741668762,0,0.504750256826583
"103RDCBCC_7/21/11_1",0.708017922411679,0.662762363225891,0.907509038336267,0.541467914100447,0.704939309518571
"103STCNSR_8/9/11_1",0.885022403014599,0.893846581514516,0.907509038336267,0,0.671594505716345
"103WER026_8/15/12_1",0.708017922411679,0.765466460243057,0.763459984632098,0.902446523500744,0.784847722696895
"103WER026_8/15/12_2",0.708017922411679,0.793375182258592,0.625673933262892,0.823972912761551,0.737759987673679
"103WER030_8/10/11_1",0.708017922411679,0.316136035792954,0.907509038336267,0,0.482915749135225
"105BVCAGC_9/21/10_1",0.708017922411679,0.778304472370203,0.907509038336267,1,0.848457858279537
"105CLCATC_8/10/10_1",0.708017922411679,0.765466460243057,0.18726376981542,0.601631015667163,0.56559479203433
"105CR0901_7/23/14_1",0.885022403014599,0.893846581514516,0.907509038336267,0,0.671594505716345
"105CR0901_8/11/14_1",0.885022403014599,0.893846581514516,0.907509038336267,0,0.671594505716345
"105CR0906_8/12/14_1",0.885022403014599,0.893846581514516,0.907509038336267,0,0.671594505716345
"105CR0908_7/22/14_1",0.885022403014599,0.893846581514516,0.907509038336267,0,0.671594505716345
"105CR0913_8/12/14_1",0.885022403014599,0.893846581514516,0.907509038336267,0,0.671594505716345
"105CR1004_7/23/14_1",0.885022403014599,0.893846581514516,0.907509038336267,0,0.671594505716345
"105DLCDCC_10/20/09_1",0.708017922411679,0.563726269673623,0.907509038336267,1,0.794813307605392
"105DLCDCC_5/19/09_1",0.708017922411679,0.123565853885766,0.907509038336267,0,0.434773203658428
"105DLCDCC_6/23/09_1",0.708017922411679,0.563726269673623,0.907509038336267,1,0.794813307605392
"105DLCDCC_8/5/09_1",0.885022403014599,0.728786425594069,0.722303112145192,1,0.834027985188465
"105DLCDCC_9/15/09_1",0.885022403014599,0.893846581514516,0.907509038336267,1,0.921594505716345
"105FC1116_8/5/14_1",0.531013441808759,0.734478155108567,0.371050493506946,0.560139221483221,0.549170327976873
"105FC1120_7/30/14_1",0.885022403014599,0.893846581514516,0.907509038336267,0.601631015667163,0.822002259633136
"105FC1297_7/22/14_1",0.708017922411679,0.604991308653735,0.907509038336267,0,0.55512956735042
"105FCA116_7/16/13_1",0.708017922411679,0.508706217700141,0.907509038336267,0,0.531058294612022
"105FS0416_9/24/13_1",0.708017922411679,0.604991308653735,0.745453852919077,0,0.514615770996123
"105FS0425_8/10/11_1",0.708017922411679,0.75791468840356,0.526202719707583,0.477765806559218,0.61747528427051
"105FS0428_8/3/11_1",0.708017922411679,0.701276399607328,0.907509038336267,0.451223261750374,0.692006655526412
"105NWC151_6/26/13_1",0.708017922411679,0.733371429925193,0.439349613797717,0.97765040045914,0.714597341648432
"105PS0028_8/12/08_1",0.708017922411679,0.563726269673623,0.907509038336267,1,0.794813307605392
"105PS0028_8/26/08_1",0.885022403014599,0.749418945084125,0.421343482084695,1,0.763946207545855
"105PS0043_9/17/08_1",0.708017922411679,0.604991308653735,0.745453852919077,1,0.764615770996123
"105PS0067_8/24/09_1",0.708017922411679,0.508706217700141,0.907509038336267,0.451223261750374,0.643864110049615
"105PS0067_8/24/09_2",0.708017922411679,0.316136035792954,0.907509038336267,0,0.482915749135225
"105PS0067_9/15/09_1",0.708017922411679,0.508706217700141,0.907509038336267,0.451223261750374,0.643864110049615
"105PS0069_8/18/09_1",0.708017922411679,0.508706217700141,0.907509038336267,0,0.531058294612022
"105PS0083_9/8/09_1",0.708017922411679,0.701276399607328,0.79947224805814,1,0.802191642519287
"105PS0090_8/25/09_1",0.531013441808759,0.508706217700141,0.619410930927929,0.601631015667163,0.565190401525998
"105PS0090_8/7/12_1",0.708017922411679,0.701276399607328,0.691435457780013,0.451223261750374,0.637988260387348
"105PS0092_8/11/08_1",0.885022403014599,0.765466460243057,0.475361877223759,1,0.781462685120354
"105PS0097_9/8/09_1",0.885022403014599,0.893846581514516,0.691435457780013,0.902446523500744,0.843187741452468
"105PS0097_9/8/09_2",0.708017922411679,0.662762363225891,0.907509038336267,1,0.819572330993459
"105PS0107_9/14/09_1",0.531013441808759,0.398666113753176,0.537097185954117,0.386762795786034,0.463384884325522
"105PS0129_8/11/10_1",0.708017922411679,0.804968036018891,0.807782770387227,0.416513780077267,0.684320627223766
"105PS0129_8/11/10_2",0.708017922411679,0.811316503554292,0.81490607524073,0.386762795786034,0.680250824248184
"105PS0149_8/29/12_1",0.708017922411679,0.662762363225891,0.777864890002515,0.270733957050224,0.604844783172577
"105PS0154_8/9/11_1",0.708017922411679,0.749418945084125,0.583398667501886,0.676834892625559,0.679417606905812
"105PS0154_8/9/11_2",0.708017922411679,0.797561490560922,0.583398667501886,0.902446523500744,0.747856150993808
"105PS0188_8/26/08_1",0.708017922411679,0,0.907509038336267,0,0.403881740186987
"105PS0188_8/26/08_2",0.885022403014599,0,0.907509038336267,0,0.448132860337716
"105PS0193_8/29/12_1",0.885022403014599,0.893846581514516,0.583398667501886,1,0.84056691300775
"105PS0195_8/7/12_1",0.708017922411679,0.662762363225891,0.777864890002515,0.812201871150671,0.740211761697689
"105PS0211_8/20/13_1",0.708017922411679,0.701276399607328,0.907509038336267,0.451223261750374,0.692006655526412
"105PS0211_9/16/13_1",0.708017922411679,0.778304472370203,0.777864890002515,0.812201871150671,0.769097288983767
"105PS0231_8/29/13_1",0.708017922411679,0.804968036018891,0.907509038336267,0.416513780077267,0.709252194211026
"105PS0259_9/17/13_1",0.708017922411679,0.749418945084125,0.907509038336267,0.676834892625559,0.760445199614408
"105PS0267_7/21/14_1",0.708017922411679,0.728786425594069,0.722303112145192,0.773525591572068,0.733158262930752
"105PS0276_9/1/09_1",0.708017922411679,0.838826529541033,0.660567803414835,0.902446523500744,0.777464694717073
"105PS0276_9/22/09_1",0.885022403014599,0.893846581514516,0.634573989212577,1,0.853360743435423
"105PS0468_9/1/09_1",0.708017922411679,0.811316503554292,0.413626568493401,0.902446523500744,0.708851879490029
"105PS0540_8/5/10_1",0.708017922411679,0.765466460243057,0.763459984632098,0.902446523500744,0.784847722696895
"105PS0540_9/15/10_1",0.708017922411679,0,0.907509038336267,0,0.403881740186987
"105PS0660_8/3/10_1",0.708017922411679,0.816818508751641,0.216073580556255,1,0.685227502929894
"105PS0660_8/3/10_2",0.708017922411679,0.78203163718131,0.280198643172949,1,0.692562050691485
"105PS1404_8/28/13_1",0.708017922411679,0.788808300474231,0.553934088335124,0.246121779136567,0.5742205225894
"105PS1404_8/28/13_2",0.708017922411679,0.662762363225891,0.907509038336267,0,0.569572330993459
"105PS1492_8/6/14_1",0.885022403014599,0.893846581514516,0.629700149049655,0.773525591572068,0.795523681287709
"105TMCACC_8/10/10_1",0.708017922411679,0.749418945084125,0.907509038336267,1,0.841236476458018
"105WLC135_6/26/13_1",0.35400896120584,0.765466460243057,0.33131282351959,0.676834892625559,0.531905784398512
"105WLCABC_8/3/11_1",0.708017922411679,0.563726269673623,0.907509038336267,0.386762795786034,0.641504006551901
"106FC1183_7/24/14_1",0.708017922411679,0.316136035792954,0.907509038336267,1,0.732915749135225
"106FC1313_7/23/14_1",0.708017922411679,0.701276399607328,0.907509038336267,0.451223261750374,0.692006655526412
"106FCA036_7/15/13_1",0.708017922411679,0.604991308653735,0.907509038336267,0.676834892625559,0.72433829050681
"106FS0040_8/30/11_1",0.708017922411679,0.508706217700141,0.907509038336267,0,0.531058294612022
"106HLCACC_9/23/13_1",0.708017922411679,0.804968036018891,0.807782770387227,0.624770670115901,0.736384849733424
"106MNCAHC_10/1/08_1",0.708017922411679,0.316136035792954,0.907509038336267,0,0.482915749135225
"106MNCAHC_10/1/08_2",0.708017922411679,0.316136035792954,0.907509038336267,0,0.482915749135225
"106PS0022_9/30/08_1",0.708017922411679,0.316136035792954,0.907509038336267,1,0.732915749135225
"106PS0051_9/16/08_1",0.885022403014599,0.893846581514516,0.436075771668076,1,0.803736189049298
"106PS0051_9/16/08_2",0.885022403014599,0.893846581514516,0.421343482084695,1,0.800053116653452
"106PS0078_8/26/09_1",0.885022403014599,0.893846581514516,0.3403158893761,1,0.779796218476304
"106PS0106_9/8/09_1",0.708017922411679,0.683770019433947,0.78965072166922,0.492243558273134,0.668420555446995
"106PS0106_9/8/09_2",0.708017922411679,0.662762363225891,0.777864890002515,0.812201871150671,0.740211761697689
"106PS0115_9/21/10_1",0.708017922411679,0.778304472370203,0.777864890002515,0.541467914100447,0.701413799721211
"106PS0122_9/20/10_1",0.708017922411679,0.804968036018891,0.508603966540105,0.624770670115901,0.661590148771644
"106PS0124_8/16/10_1",0.708017922411679,0.765466460243057,0.763459984632098,0.902446523500744,0.784847722696895
"106PS0142_7/19/10_1",0.708017922411679,0.765466460243057,0.33131282351959,0.902446523500744,0.676810932418768
"106PS0166_8/2/11_1",0.708017922411679,0.604991308653735,0.907509038336267,0.676834892625559,0.72433829050681
"106PS0173_8/4/11_1",0.708017922411679,0.788808300474231,0.78965072166922,0.738365337409701,0.756210570491208
"106PS0186_9/26/12_1",0.708017922411679,0.431678144937266,0.907509038336267,0,0.511801276421303
"106PS0206_10/3/12_1",0.708017922411679,0.825880634959038,0.678725247159057,0.477765806559218,0.672597402772248
"106PTCAHC_9/2/08_1",0.885022403014599,0.816818508751641,0.648220741668762,0.902446523500744,0.813127044233936
"106WE1079_8/8/12_1",0.885022403014599,0.893846581514516,0.648220741668762,0.541467914100447,0.742139410074581
"106WER011_9/11/13_1",0.885022403014599,0.893846581514516,0.648220741668762,1,0.856772431549469
"106WER016_10/20/09_1",0.708017922411679,0.662762363225891,0.907509038336267,1,0.819572330993459
"106WER016_5/18/09_1",0.708017922411679,0.716089490523266,0.608330234489146,1,0.758109411856023
"106WER016_6/22/09_1",0.708017922411679,0.508706217700141,0.907509038336267,0.902446523500744,0.756669925487208
"106WER016_8/4/09_1",0.885022403014599,0.893846581514516,0.907509038336267,0,0.671594505716345
"106WER016_9/16/09_1",0.708017922411679,0.749418945084125,0.664426260210481,1,0.780465781926571
"107GWCAPC_9/15/10_1",0.708017922411679,0.662762363225891,0.907509038336267,0,0.569572330993459
"107LLM101_9/13/10_1",0.708017922411679,0.701276399607328,0.907509038336267,0,0.579200840088819
"107PS0021_9/3/08_1",0.708017922411679,0.316136035792954,0.907509038336267,0.676834892625559,0.652124472291615
"107RWCBHW_8/3/11_1",0.708017922411679,0.749418945084125,0.745453852919077,0,0.55072268010372
"107RWCBHW_8/3/11_2",0.708017922411679,0.749418945084125,0.745453852919077,0,0.55072268010372
"107WER092_8/27/12_1",0.708017922411679,0.728786425594069,0.907509038336267,0.773525591572068,0.779459744478521
"108PS0197_8/16/12_1",0.708017922411679,0.316136035792954,0.907509038336267,0,0.482915749135225
"109PS0162_7/20/11_1",0.708017922411679,0.637086338971599,0.18726376981542,1,0.633092007799674
"110ECSLSF_7/26/11_1",0.708017922411679,0.431678144937266,0.388932445001257,0.541467914100447,0.517524106612662
"110FCA102_7/25/13_1",0.708017922411679,0,0.907509038336267,0,0.403881740186987
"110PS0114_7/21/10_1",0.708017922411679,0.316136035792954,0.907509038336267,1,0.732915749135225
"110SMCATH_7/27/11_1",0.708017922411679,0.316136035792954,0.907509038336267,1,0.732915749135225
"111BBRBCC_9/23/09_1",0.531013441808759,0.431678144937266,0.129644148333752,0.541467914100447,0.408450912295056
"111BGCAER_10/6/09_1",0.708017922411679,0.316136035792954,0.907509038336267,0,0.482915749135225
"111CBCAER_8/8/13_1",0.708017922411679,0.825880634959038,0.83124777461053,0.955531613118436,0.830169486274921
"111CBCAER_8/8/13_2",0.35400896120584,0.673766373620588,0.598832494684476,0.644604659643389,0.567803122288573
"111CE0569_10/11/10_1",0.708017922411679,0,0.907509038336267,0,0.403881740186987
"111CE0569_5/11/10_1",0.708017922411679,0,0.907509038336267,0,0.403881740186987
"111CE0569_6/15/10_1",0.708017922411679,0.508706217700141,0.907509038336267,0,0.531058294612022
"111CE0569_7/20/10_1",0.708017922411679,0.316136035792954,0.907509038336267,1,0.732915749135225
"111CE0569_9/1/10_1",0.708017922411679,0.604991308653735,0.907509038336267,0,0.55512956735042
"111CR0911_8/19/14_1",0.885022403014599,0.893846581514516,0.907509038336267,0,0.671594505716345
"111CR1012_8/18/14_1",0.885022403014599,0.893846581514516,0.907509038336267,0,0.671594505716345
"111ERATRC_10/10/12_1",0.885022403014599,0.804968036018891,0.708056502438186,0.833027560154535,0.807768625406553
"111FC1098_6/10/14_1",0.885022403014599,0.893846581514516,0.722303112145192,0,0.625293024168577
"111FCA207_7/23/13_1",0.708017922411679,0.662762363225891,0.907509038336267,0,0.569572330993459
"111FS0001_7/5/11_1",0.708017922411679,0.563726269673623,0.907509038336267,0,0.544813307605392
"111FS0007_7/11/11_1",0.708017922411679,0.316136035792954,0.907509038336267,0,0.482915749135225
"111FS0008_5/2/12_1",0.708017922411679,0,0.907509038336267,0,0.403881740186987
"111FS0008_6/7/12_1",0.708017922411679,0.316136035792954,0.907509038336267,0,0.482915749135225
"111FS0008_7/19/12_1",0.885022403014599,0.893846581514516,0.907509038336267,0.386762795786034,0.768285204662854
"111FS0008_7/6/11_1",0.708017922411679,0.431678144937266,0.907509038336267,0.541467914100447,0.647168254946415
"111HSCAER_7/26/11_1",0.708017922411679,0.765466460243057,0.763459984632098,0.300815507833581,0.634439968780104
"111HSCAER_7/26/11_2",0.708017922411679,0.765466460243057,0.763459984632098,0.300815507833581,0.634439968780104
"111PAL105_7/13/11_1",0.708017922411679,0.508706217700141,0.907509038336267,0.902446523500744,0.756669925487208
"111PS0008_9/29/08_1",0.531013441808759,0.701276399607328,0.63741706264095,1,0.717426726014259
"111PS0008_9/9/08_1",0.531013441808759,0.73628915995409,0.671792405002172,1,0.734773751691255
"111PS0008_9/9/08_2",0.531013441808759,0.743139482630629,0.682040954277567,1,0.739048469679239
"111PS0013_8/19/08_1",0.708017922411679,0.508706217700141,0.907509038336267,0.902446523500744,0.756669925487208
"111PS0057_8/18/08_1",0.708017922411679,0.123565853885766,0.907509038336267,0.902446523500744,0.660384834533614
"111PS0060_10/7/08_1",0.708017922411679,0.728786425594069,0.537097185954117,0.386762795786034,0.590166082436475
"111PS0095_8/27/09_1",0.708017922411679,0.604991308653735,0.907509038336267,1,0.80512956735042
"111PS0095_8/27/09_2",0.708017922411679,0.508706217700141,0.907509038336267,0.902446523500744,0.756669925487208
"111PS0110_6/24/09_1",0.708017922411679,0.604991308653735,0.907509038336267,1,0.80512956735042
"111PS0121_7/20/10_1",0.708017922411679,0.604991308653735,0.583398667501886,0.676834892625559,0.643310697798215
"111PS0144_8/18/10_1",0.708017922411679,0.778304472370203,0.777864890002515,0.812201871150671,0.769097288983767
"111PS0159_7/14/11_1",0.708017922411679,0.739790435988766,0.475361877223759,0.721957218800597,0.6612818636062
"111PS0160_7/25/11_1",0.708017922411679,0.604991308653735,0.907509038336267,0.676834892625559,0.72433829050681
"111PS0169_7/25/11_1",0.708017922411679,0.728786425594069,0.722303112145192,0.386762795786034,0.636467563984244
"111PS0169_7/25/11_2",0.708017922411679,0.778304472370203,0.777864890002515,0.541467914100447,0.701413799721211
"111PS0178_8/14/12_1",0.708017922411679,0.508706217700141,0.907509038336267,0.451223261750374,0.643864110049615
"111PS0204_8/17/10_1",0.708017922411679,0.604991308653735,0.907509038336267,0,0.55512956735042
"111PS0237_9/12/13_1",0.708017922411679,0.772223308731029,0.7028077514935,0.854949338053339,0.759499580172387
"111RSCAER_8/8/11_1",0.708017922411679,0.604991308653735,0.583398667501886,0,0.474101974641825
"111SF1016_10/4/10_1",0.708017922411679,0.728786425594069,0.44449422285858,1,0.720324642716082
"111SF1016_7/14/10_1",0.708017922411679,0.123565853885766,0.907509038336267,0,0.434773203658428
"111SF1016_8/2/10_1",0.708017922411679,0.508706217700141,0.907509038336267,1,0.781058294612022
"111SF1016_8/25/10_1",0.885022403014599,0.893846581514516,0.51857659333501,1,0.824361394466031
"111SF1016_9/14/10_1",0.531013441808759,0.788808300474231,0.377146613334553,0.861426226977984,0.639598645648882
"111SF1569_10/4/10_1",0.708017922411679,0.728786425594069,0.490795704406349,0.966906989465084,0.723626760469295
